Route,Page type,Area,WordPress state,Astro before,Correction made,Astro after,Remaining difference,Reason
"/electrical-services-selangor/","Service","Full-page structure","Long service flow with quote card, process, FAQ and related guides","Short generic hero and compressed cards","Restored long reading flow, safe fact band, quote column, FAQ rhythm and guide links","Closely follows the source structure at all three viewports","SAFE_DEMO_EXCLUSION","Unsupported certification, emergency, counter, review and guarantee claims remain excluded"
"/home-renovation-contractor-in-subang-jaya/","Service","Local renovation layout","Local introduction, cost table, process, FAQ and service-area content","Compressed generic renovation cards","Restored local flow, published cost table, process sequence, quote column, FAQ and related links","Local Subang Jaya content remains visible in source order","SAFE_DEMO_EXCLUSION","Imported review counters and testimonial material remain excluded"
"/office-renovation-in-kuala-lumpur/","Service","Office fit-out sections","Individual fit-out, pricing, quotation, building-rule, process, area and FAQ sections","Generic hero and shortened card treatment","Matched section sequence, card families, pricing, process, FAQ and dark quotation bands","Closely follows the long source page","SOURCE_IMAGE_UNAVAILABLE","Current WordPress visual-example images do not load; blank source positions are not presented as projects"
"/waterproofing-contractor-kuala-lumpur/","Service","Leak inspection and repair flow","Inspection-led content, price table, methods, process, FAQ and guide links","Short generic sections","Restored sequential inspection content, pricing, repair flow, quote column, FAQ and guides","Closely follows the source page length and hierarchy","SAFE_DEMO_EXCLUSION","Lifetime-style guarantees, unsupported counters and reviews remain excluded"
"/plaster-ceiling-contractor-kl/","Service","Ceiling scope and pricing","Sequential introduction, pricing, process, design cards, FAQ and knowledge hub","Short generic cards","Restored service flow, exact published table, process, design cards, FAQ and guide links","Closely follows the source structure","SAFE_DEMO_EXCLUSION","Unsupported warranty, perfection and review claims remain excluded"
"/servis-cuci-rumah-kl/","Service","Malay cleaning content","Malay introduction, pricing, process, packages, FAQ and guides","Compressed generic Malay sections","Restored Malay reading flow, service images, quote column, package cards, FAQ and guide links","Malay source structure is preserved","SAFE_DEMO_EXCLUSION","Unsupported sanitisation, satisfaction, review and counter claims remain excluded"
"/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","Article","Article and sidebar","Long English guide with content column, sidebar, table and CTA","Full-width landing-page presentation","Added WordPress-like content/sidebar relationship while preserving the complete imported body and table","Content counts and source order remain intact","SAFE_DEMO_EXCLUSION","Unsupported 90-day workmanship warranty remains excluded"
"/commercial-retail-shop-renovation-in-kuala-lumpur/","Article","Article and sidebar","Commercial guide with featured image, cost table, callouts and sidebar","Full-width presentation","Restored source-like content width, sidebar, exact localized image and related links","Content and table remain complete","SAFE_DEMO_EXCLUSION","Imported commercial guarantee and unsupported project-management claim remain excluded"
"/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","Article","Article and sidebar","Electrical safety guide with pricing table, callouts and sidebar","Full-width presentation","Restored source-like reading width, sidebar, table containment and related electrical links","Safe article wording and table remain complete","SAFE_DEMO_EXCLUSION","Unsupported workmanship warranty remains excluded"
"/house-renovation-in-kuala-lumpur-the-ultimate-planning-cost-guide-2026/","Article","Long-form cost guide","Very long renovation guide with multiple layouts, nine FAQs and sidebar","Full-width layout with substituted local images","Restored source-like content/sidebar proportions and retained every heading, FAQ and content section","Article counts match and page length is comparable","SOURCE_IMAGE_UNAVAILABLE","Two current source photographs remain unavailable; closest local neutral renovation image is retained"
