"Checkpoint","Status","Evidence","Owner action","Provider action","Required before Prompt 4.2","Required before Prompt 4.3","Blocking level","Notes"
"Exact release SHA","PASS","Reproduced exact approved SHA","Approve release","","Yes","Yes","NONE","Two-SHA model preserved"
"Release archive checksum","PASS","fb3b8203bab2b81169041a7667be85009dc8a513d4fa81a4428f6ff60543dba1","","","Yes","Yes","NONE","Exact match"
"Content lock","PASS","1c42d6f677affee9fc73f73170dba8f876be29dc43f7aa69465b903b1e2307ff","","","Yes","Yes","NONE","Exact match"
"Route map","PASS","da5ff3b90d0928bc5c051f205df8a5acce10bece2e04e7c70512c9bade9ff7b8","","","Yes","Yes","NONE","Exact match"
"42 retained routes","PASS","Production readiness suite","","","Yes","Yes","NONE","42"
"32 sitemap URLs","PASS","Production readiness suite","","","Yes","Yes","NONE","32"
"Redirects","PASS","23 one-hop redirects","","","Yes","Yes","NONE","23"
"410s","PASS","66 genuine gone routes","","","Yes","Yes","NONE","66"
"Known 404s","PASS","Nine known 404 routes","","","Yes","Yes","NONE","9"
"Custom 404","PASS","Production readiness suite","","","Yes","Yes","NONE","Custom unknown-route response"
"GitHub staging inactivity","PASS","No analytics, forms or Turnstile","","","Yes","Yes","NONE","Noindex and robots disallow-all"
"WordPress backup inventory","PASS","Local read-only inventory","","","No","Yes","NONE","Checksums local-only"
"Fresh backup requirement","CUTOVER_APPROVAL_REQUIRED","Prompt 4.3 requirement","Confirm fresh backup","","No","Yes","CUTOVER_BLOCKER","Take immediately before cutover"
"Preview hostname","PROVIDER_VALUE_REQUIRED","Not yet approved","Approve hostname","Supply/configure hostname","Yes","No","PREVIEW_BLOCKER","No hostname created"
"Preview authentication","OWNER_CONFIRMATION_REQUIRED","Method not selected","Choose Basic/IP/both","Implement chosen method","Yes","No","PREVIEW_BLOCKER",""
"VPS approval","OWNER_CONFIRMATION_REQUIRED","No remote authority yet","Approve VPS","","Yes","No","PREVIEW_BLOCKER",""
"ConvortAI isolation","OWNER_CONFIRMATION_REQUIRED","Must remain independent","Confirm isolation","Demonstrate isolation","Yes","Yes","PREVIEW_BLOCKER",""
"Nginx server test","SERVER_TEST_REQUIRED","Templates only","","Run isolated server test","No","Yes","CUTOVER_BLOCKER","Prompt 4.2/4.3"
"systemd server test","SERVER_TEST_REQUIRED","Templates only","","Run isolated server test","No","Yes","CUTOVER_BLOCKER","Prompt 4.2/4.3"
"TLS","SERVER_TEST_REQUIRED","Current TLS documented; preview unissued","","Test preview then production","No","Yes","CUTOVER_BLOCKER","No certificate requested"
"SMTP","PROVIDER_VALUE_REQUIRED","Provider unknown","Choose provider","Supply non-secret settings and secrets securely","Yes","Yes","PREVIEW_BLOCKER",""
"Form recipient","OWNER_CONFIRMATION_REQUIRED","Candidate only","Approve recipient","","Yes","Yes","PREVIEW_BLOCKER",""
"Verified sender","PROVIDER_VALUE_REQUIRED","No verified domain sender claimed","Approve sender","Provide verified sender","Yes","Yes","PREVIEW_BLOCKER",""
"Turnstile preview","PROVIDER_VALUE_REQUIRED","Separate widget required","Approve widget","Provide site key/secret securely","Yes","No","PREVIEW_BLOCKER",""
"Turnstile production","PROVIDER_VALUE_REQUIRED","Separate widget required","Approve widget","Provide site key/secret securely","No","Yes","CUTOVER_BLOCKER",""
"Consent wording","OWNER_CONFIRMATION_REQUIRED","Approval required","Approve wording","","Yes","Yes","PREVIEW_BLOCKER","Advertising consent denied"
"Analytics property","OWNER_CONFIRMATION_REQUIRED","Logged-in confirmation required","Confirm GA4 ownership","","Yes","Yes","PREVIEW_BLOCKER","Tracking stays off"
"Search Console property","OWNER_CONFIRMATION_REQUIRED","Logged-in confirmation required","Confirm property","","No","Yes","CUTOVER_BLOCKER",""
"DNS snapshot","PASS","Public read-only snapshot","","","Yes","Yes","NONE","Point-in-time evidence"
"DNS change approval","CUTOVER_APPROVAL_REQUIRED","No DNS authority granted","Approve only at cutover","Prepare exact change plan","No","Yes","CUTOVER_BLOCKER",""
"Private-preview approval","OWNER_CONFIRMATION_REQUIRED","Explicit approval missing","Approve Prompt 4.2","","Yes","No","PREVIEW_BLOCKER",""
"Cutover approval","CUTOVER_APPROVAL_REQUIRED","Not requested yet","Approve later","","No","Yes","CUTOVER_BLOCKER",""
"Rollback approval","OWNER_CONFIRMATION_REQUIRED","Policy approval missing","Approve rollback triggers","","Yes","Yes","PREVIEW_BLOCKER",""
"Post-cutover monitoring","READY_IN_CODE","Checklist exists","Approve monitoring window","Execute later","No","Yes","NONE","No monitoring started"
