Route,Area,WordPress state,Astro before,Correction made,Astro after,Remaining difference,Reason
"/","Complete page","Photographic hero, image-led content, dark service area, process, enquiry, testimonials and blue CTA","Close structure but title casing and proportions differed","Matched WordPress heading casing and retained the complete image-led section sequence","Complete responsive homepage remains visually close at all three viewports","TECHNICAL_PLATFORM_DIFFERENCE","Static Astro uses non-animated cards instead of Elementor carousel motion"
"/services/","Complete page","Centered introduction, three service values, wide renovation image, compact service links and dark guide section","Long 12-card directory with a different visual rhythm","Rebuilt the page around the live wide image, six primary service links and six matching guide cards","Section order, density, colours and page length now closely follow WordPress","NONE","No meaningful correctable difference remains"
"/about-us/","Complete page","Large construction image, Who We Are/Mission/Core Values, renovation introduction, benefits, services and areas","Different crane-led split layout and section order","Restored the live section order and exact safe business text; retained Rao Israr as operator","Image-led layout, service band, area section and CTA now follow the WordPress family","SAFE_DEMO_EXCLUSION","Unsupported experience and project counters remain replaced with confirmed facts"
"/contact-us/","Complete page","Dark split contact-information/form section followed by direct-contact guidance","White card layout with a separate generic blue CTA","Rebuilt the dark split, field arrangement, labels and direct-contact block","The staging form visually matches while every control remains disabled","TECHNICAL_PLATFORM_DIFFERENCE","WordPress form is live; GitHub Pages form is intentionally disabled"
"/faq/","Complete page","Simple accordion list, orange question CTA and image-backed follow-up","Centered intro and a different CTA stack","Matched the compact accordion, orange CTA and follow-up composition","Nine safe accordions remain complete and interactive","SAFE_DEMO_EXCLUSION","Imported Vastcon text, placeholder wording and warranty statements remain excluded"
"/blog/","Complete page","Compact post list with search/category sidebar and pagination","Three-column card directory","Rebuilt as a WordPress-style list/sidebar while retaining every approved post","All 14 cards, images, categories, dates, excerpts and topic links remain visible","TECHNICAL_PLATFORM_DIFFERENCE","WordPress paginates a smaller visible set; Stage 1 requires all 14 retained posts"
"/servis-aircond-murah-kl/","Hero, prices, services, process, FAQ and CTA","Malay long-form service page with two broken source photographs","Complete content but a different local hero image and denser cards","Tightened heading presentation while preserving every safe Malay section and price row","Content and responsive structure closely match","SOURCE_IMAGE_UNAVAILABLE","Both current WordPress article photographs fail to load; approved owner aircond media remains substituted"
"/aircond-installation-kl/","Hero and full service content","Image-led English installation hero with exact technician photograph","Owner wall-unit substitute in the hero","Restored the exact localized WordPress technician image and title casing","Hero, facts, prices, process, areas, FAQ and CTA align closely","NONE","Exact WordPress installation media is localized"
"/upah-pasang-aircond-selangor/","Hero and full service content","Malay installation hero using the technician photograph","Owner trunking photograph in the hero","Restored the exact localized WordPress technician image and title casing","Malay content, prices, process, areas, FAQ and CTA align closely","NONE","Exact WordPress installation media is localized"
"/service/building-renovation/","Complete route-safe structure","Sidebar service layout, two renovation images, scope, process and FAQ plus imported Vastcon material","Short generic hero and one abbreviated content section","Built the sidebar, image-led scope, process and safe FAQ structure using RK Reno details","Route-relevant visual structure and content now closely follow WordPress","SAFE_DEMO_EXCLUSION","Foreign contacts, demo staff, projects, credentials, testimonials and Vastcon claims remain excluded"
"/house-renovation-in-kuala-lumpur/","Hero, pricing, factors, examples, process, areas, FAQ and CTA","Full long-form renovation service page with unavailable inline project images","Complete safe content with local neutral renovation imagery","Preserved full page content and responsive card/table behaviour while keeping the closest local images","Structure and page length remain close across all viewports","SOURCE_IMAGE_UNAVAILABLE","Current WordPress living-area and kitchen image URLs fail to load"
"/house-renovation-in-selangor/","Hero, pricing, factors, examples, process, areas, FAQ and CTA","Full long-form renovation service page with unavailable inline project images","Complete safe content with local neutral renovation imagery","Preserved full page content and responsive card/table behaviour while keeping the closest local images","Structure and page length remain close across all viewports","SOURCE_IMAGE_UNAVAILABLE","Current WordPress terrace and tiling image URLs fail to load"
