"Route","Page family","Area checked","WordPress state","Astro state before Prompt 2.3","Final correction","Final Astro state","Remaining difference","Reason"
"/","Core and services","Complete page","Photographic hero, image-led content, dark service area, process, enquiry, testimonials and blue CTA","Close structure but title casing and proportions differed","Preserved prior layout and normalized shared logo/card image dimensions","Complete responsive homepage remains visually close at all three viewports","TECHNICAL_PLATFORM_DIFFERENCE","Static Astro uses non-animated cards instead of Elementor carousel motion"
"/services/","Core and services","Complete page","Centered introduction, three service values, wide renovation image, compact service links and dark guide section","Long 12-card directory with a different visual rhythm","Preserved prior layout and normalized shared logo/card image dimensions","Section order, density, colours and page length now closely follow WordPress","NONE","No meaningful correctable difference remains"
"/about-us/","Core and services","Complete page","Large construction image, Who We Are/Mission/Core Values, renovation introduction, benefits, services and areas","Different crane-led split layout and section order","Preserved prior layout and normalized shared logo/card image dimensions","Image-led layout, service band, area section and CTA now follow the WordPress family","SAFE_DEMO_EXCLUSION","Unsupported experience and project counters remain replaced with confirmed facts"
"/contact-us/","Core and services","Complete page","Dark split contact-information/form section followed by direct-contact guidance","White card layout with a separate generic blue CTA","Preserved prior layout and normalized shared logo/card image dimensions","The staging form visually matches while every control remains disabled","TECHNICAL_PLATFORM_DIFFERENCE","WordPress form is live; GitHub Pages form is intentionally disabled"
"/servis-aircond-murah-kl/","Core and services","Hero, prices, services, process, FAQ and CTA","Malay long-form service page with two broken source photographs","Complete content but a different local hero image and denser cards","Preserved prior layout and normalized shared logo/card image dimensions","Content and responsive structure closely match","SOURCE_IMAGE_UNAVAILABLE","Both current WordPress article photographs fail to load; approved owner aircond media remains substituted"
"/aircond-installation-kl/","Core and services","Hero and full service content","Image-led English installation hero with exact technician photograph","Owner wall-unit substitute in the hero","Preserved prior layout and normalized shared logo/card image dimensions","Hero, facts, prices, process, areas, FAQ and CTA align closely","NONE","Exact WordPress installation media is localized"
"/upah-pasang-aircond-selangor/","Core and services","Hero and full service content","Malay installation hero using the technician photograph","Owner trunking photograph in the hero","Preserved prior layout and normalized shared logo/card image dimensions","Malay content, prices, process, areas, FAQ and CTA align closely","NONE","Exact WordPress installation media is localized"
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","Long-form article","Long Malay price guide","Very long Malay guide with eight FAQs, installation imagery and sidebar","Full-width presentation with approved owner images","Preserved Prompt 2.2 layout and added intrinsic dimensions to imported article images","Heading and FAQ counts match","SOURCE_IMAGE_UNAVAILABLE","Several exact source images remain unavailable; approved owner aircond imagery is retained"
"/service/building-renovation/","Core and services","Complete route-safe structure","Sidebar service layout, two renovation images, scope, process and FAQ plus imported Vastcon material","Short generic hero and one abbreviated content section","Preserved prior layout and normalized shared logo/card image dimensions","Route-relevant visual structure and content now closely follow WordPress","SAFE_DEMO_EXCLUSION","Foreign contacts, demo staff, projects, credentials, testimonials and Vastcon claims remain excluded"
"/electrical-services-selangor/","Core and services","Full-page structure","Long service flow with quote card, process, FAQ and related guides","Short generic hero and compressed cards","Preserved prior layout and normalized shared logo/card image dimensions","Closely follows the source structure at all three viewports","SAFE_DEMO_EXCLUSION","Unsupported certification, emergency, counter, review and guarantee claims remain excluded"
"/house-renovation-in-kuala-lumpur/","Core and services","Hero, pricing, factors, examples, process, areas, FAQ and CTA","Full long-form renovation service page with unavailable inline project images","Complete safe content with local neutral renovation imagery","Preserved prior layout and normalized shared logo/card image dimensions","Structure and page length remain close across all viewports","SOURCE_IMAGE_UNAVAILABLE","Current WordPress living-area and kitchen image URLs fail to load"
"/house-renovation-in-selangor/","Core and services","Hero, pricing, factors, examples, process, areas, FAQ and CTA","Full long-form renovation service page with unavailable inline project images","Complete safe content with local neutral renovation imagery","Preserved prior layout and normalized shared logo/card image dimensions","Structure and page length remain close across all viewports","SOURCE_IMAGE_UNAVAILABLE","Current WordPress terrace and tiling image URLs fail to load"
"/home-renovation-contractor-in-subang-jaya/","Core and services","Local renovation layout","Local introduction, cost table, process, FAQ and service-area content","Compressed generic renovation cards","Preserved prior layout and normalized shared logo/card image dimensions","Local Subang Jaya content remains visible in source order","SAFE_DEMO_EXCLUSION","Imported review counters and testimonial material remain excluded"
"/office-renovation-in-kuala-lumpur/","Core and services","Office fit-out sections","Individual fit-out, pricing, quotation, building-rule, process, area and FAQ sections","Generic hero and shortened card treatment","Preserved prior layout and normalized shared logo/card image dimensions","Closely follows the long source page","SOURCE_IMAGE_UNAVAILABLE","Current WordPress visual-example images do not load; blank source positions are not presented as projects"
"/waterproofing-contractor-kuala-lumpur/","Core and services","Leak inspection and repair flow","Inspection-led content, price table, methods, process, FAQ and guide links","Short generic sections","Preserved prior layout and normalized shared logo/card image dimensions","Closely follows the source page length and hierarchy","SAFE_DEMO_EXCLUSION","Lifetime-style guarantees, unsupported counters and reviews remain excluded"
"/plaster-ceiling-contractor-kl/","Core and services","Ceiling scope and pricing","Sequential introduction, pricing, process, design cards, FAQ and knowledge hub","Short generic cards","Preserved prior layout and normalized shared logo/card image dimensions","Closely follows the source structure","SAFE_DEMO_EXCLUSION","Unsupported warranty, perfection and review claims remain excluded"
"/faq/","Core and services","Complete page","Simple accordion list, orange question CTA and image-backed follow-up","Centered intro and a different CTA stack","Preserved prior layout and normalized shared logo/card image dimensions","Nine safe accordions remain complete and interactive","SAFE_DEMO_EXCLUSION","Imported Vastcon text, placeholder wording and warranty statements remain excluded"
"/blog/","Core and services","Complete page","Compact post list with search/category sidebar and pagination","Three-column card directory","Preserved prior layout and normalized shared logo/card image dimensions","All 14 cards, images, categories, dates, excerpts and topic links remain visible","TECHNICAL_PLATFORM_DIFFERENCE","WordPress paginates a smaller visible set; Stage 1 requires all 14 retained posts"
"/commercial-retail-shop-renovation-in-kuala-lumpur/","Long-form article","Article and sidebar","Commercial guide with featured image, cost table, callouts and sidebar","Full-width presentation","Preserved Prompt 2.2 layout and added intrinsic dimensions to imported article images","Content and table remain complete","SAFE_DEMO_EXCLUSION","Imported commercial guarantee and unsupported project-management claim remain excluded"
"/office-renovation-petaling-jaya-corporate-fit-out-experts/","Long-form article","Article and sidebar","Petaling Jaya guide with image, fit-out table and sidebar","Full-width presentation","Preserved Prompt 2.2 layout and added intrinsic dimensions to imported article images","Content and table counts match","TECHNICAL_PLATFORM_DIFFERENCE","Static Astro sidebar search is intentionally disabled on staging"
"/waterproofing-contractor-kuala-lumpur-the-complete-guide-to-stopping-leaks-2026/","Long-form article","Article and sidebar","Waterproofing guide with image, price table, callouts and sidebar","Full-width presentation","Preserved Prompt 2.2 layout and added intrinsic dimensions to imported article images","Heading and table counts match","SAFE_DEMO_EXCLUSION","Fixed one-to-ten-year warranty and free-repair promise remain excluded"
