"Route","Current image","Image purpose","Local or remote","General service image","Verified RK Reno project image","Image quality","Duplicate image usage","Owner replacement recommended","Required photo subject","Priority","Blocking production","Notes","Owner media resolution"
"/","/assets/media/RK-Reno-Solution-contractor-reviewing-renovation-projec-1fc54dc9.jpg","Page/hero illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","1 retained routes use this asset","YES","Team or worksite images","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","OWNER_CONFIRMATION_REQUIRED"
"/services/","/assets/media/Renovation-contractor-for-commercial-buildings-93583952.jpg","Page/hero illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","5 retained routes use this asset","YES","Team or worksite images","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","OWNER_CONFIRMATION_REQUIRED"
"/about-us/","/assets/media/Renovation-planning-and-project-drawings-6cfdb2fc.jpg","Page/hero illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","3 retained routes use this asset","YES","Team or worksite images","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","OWNER_CONFIRMATION_REQUIRED"
"/contact-us/","/assets/media/ct-08-a16e9952.webp","Page/hero illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE_AT_RENDERED_SIZE","1 retained routes use this asset","YES","Team or worksite images","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/servis-aircond-murah-kl/","/assets/media/owner/rk-reno-aircond-indoor-unit-service-access-960.webp","Page/hero illustration","LOCAL","NO","OWNER-SUPPLIED - COMPLETED PROJECT NOT CLAIMED","GOOD","3 retained routes use this asset","NO","Aircond installation and servicing","RECOMMENDED_AFTER_LAUNCH","NO","Reviewed owner-supplied aircond imagery. Metadata was stripped; no customer, completed-project, or location claim is made.","RESOLVED_WITH_OWNER_MEDIA"
"/aircond-installation-kl/","/assets/media/owner/rk-reno-wall-mounted-aircond-unit-960.webp","Page/hero illustration","LOCAL","NO","OWNER-SUPPLIED - COMPLETED PROJECT NOT CLAIMED","GOOD","3 retained routes use this asset","NO","Aircond installation and servicing","RECOMMENDED_AFTER_LAUNCH","NO","Reviewed owner-supplied aircond imagery. Metadata was stripped; no customer, completed-project, or location claim is made.","RESOLVED_WITH_OWNER_MEDIA"
"/upah-pasang-aircond-selangor/","/assets/media/owner/rk-reno-aircond-unit-trunking-960.webp","Page/hero illustration","LOCAL","NO","OWNER-SUPPLIED - COMPLETED PROJECT NOT CLAIMED","GOOD","3 retained routes use this asset","NO","Aircond installation and servicing","RECOMMENDED_AFTER_LAUNCH","NO","Reviewed owner-supplied aircond imagery. Metadata was stripped; no customer, completed-project, or location claim is made.","RESOLVED_WITH_OWNER_MEDIA"
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","/assets/media/owner/rk-reno-aircond-outdoor-condenser-720.webp","Article illustration","LOCAL","NO","OWNER-SUPPLIED - COMPLETED PROJECT NOT CLAIMED","GOOD","1 retained routes use this asset","NO","Aircond installation and servicing","RECOMMENDED_AFTER_LAUNCH","NO","Reviewed owner-supplied aircond imagery. Metadata was stripped; no customer, completed-project, or location claim is made.","RESOLVED_WITH_OWNER_MEDIA"
"/service/building-renovation/","/assets/media/Modern-building-renovation-and-property-improvement-b1ec6039.jpg","Page/hero illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","3 retained routes use this asset","YES","House renovation and before-and-after projects","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/electrical-services-selangor/","/assets/media/Construction-workers-discussing-renovation-plans-092133b6.jpg","Page/hero illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","1 retained routes use this asset","YES","Electrical inspection and installation work","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","OWNER_MEDIA_NOT_SUITABLE"
"/house-renovation-in-kuala-lumpur/","/assets/media/Home-renovation-service-in-KL-422b205c.jpg","Page/hero illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","2 retained routes use this asset","YES","House renovation and before-and-after projects","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/house-renovation-in-selangor/","/assets/media/Modern-building-renovation-and-property-improvement-b1ec6039.jpg","Page/hero illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","3 retained routes use this asset","YES","House renovation and before-and-after projects","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/home-renovation-contractor-in-subang-jaya/","/assets/media/Renovation-planning-and-project-drawings-6cfdb2fc.jpg","Page/hero illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","3 retained routes use this asset","YES","House renovation and before-and-after projects","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/office-renovation-in-kuala-lumpur/","/assets/media/Office-renovation-service-in-Selangor-7928d19d.jpg","Page/hero illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","4 retained routes use this asset","YES","Office renovation and fit-out work","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/waterproofing-contractor-kuala-lumpur/","/assets/media/Bathroom-waterproofing-service-in-KL-3293ca94.jpg","Page/hero illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","4 retained routes use this asset","YES","Waterproofing inspection and repair","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/plaster-ceiling-contractor-kl/","/assets/media/Plaster-ceiling-and-aircond-installation-dd789b38.jpg","Page/hero illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","6 retained routes use this asset","YES","Plaster ceiling installation and repair","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/faq/","No substantive image","Page/hero illustration","NOT_APPLICABLE","NO","NO - NOT OWNER VERIFIED","NOT_APPLICABLE","NOT_APPLICABLE","OPTIONAL","Team or worksite images","OPTIONAL_IMPROVEMENT","NO","No photography is required for the current utility presentation.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/blog/","No substantive image","Article-card preview","NOT_APPLICABLE","NO","NO - NOT OWNER VERIFIED","NOT_APPLICABLE","NOT_APPLICABLE","OPTIONAL","Team or worksite images","OPTIONAL_IMPROVEMENT","NO","No photography is required for the current utility presentation.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/commercial-retail-shop-renovation-in-kuala-lumpur/","/assets/media/Renovation-contractor-for-commercial-buildings-93583952.jpg","Article illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","5 retained routes use this asset","YES","Office renovation and fit-out work","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/office-renovation-petaling-jaya-corporate-fit-out-experts/","/assets/media/Office-renovation-service-in-Selangor-7928d19d.jpg","Article illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","4 retained routes use this asset","YES","Office renovation and fit-out work","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/waterproofing-contractor-kuala-lumpur-the-complete-guide-to-stopping-leaks-2026/","/assets/media/Bathroom-waterproofing-service-in-KL-3293ca94.jpg","Article illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","4 retained routes use this asset","YES","Waterproofing inspection and repair","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/plaster-ceiling-contractor-kl-the-ultimate-design-pricing-guide-2026/","/assets/media/Plaster-ceiling-and-aircond-installation-dd789b38.jpg","Article illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","6 retained routes use this asset","YES","Plaster ceiling installation and repair","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","/assets/media/owner/rk-reno-wall-mounted-aircond-unit-960.webp","Article illustration","LOCAL","NO","OWNER-SUPPLIED - COMPLETED PROJECT NOT CLAIMED","GOOD","6 retained routes use this asset","NO","Aircond installation and servicing","RECOMMENDED_AFTER_LAUNCH","NO","Reviewed owner-supplied aircond imagery. Metadata was stripped; no customer, completed-project, or location claim is made.","RESOLVED_WITH_OWNER_MEDIA"
"/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","/assets/media/Renovation-planning-and-project-drawings-6cfdb2fc.jpg","Article illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","3 retained routes use this asset","YES","Electrical inspection and installation work","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","OWNER_MEDIA_NOT_SUITABLE"
"/house-renovation-in-kuala-lumpur-the-ultimate-planning-cost-guide-2026/","/assets/media/Home-renovation-service-in-KL-422b205c.jpg","Article illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","2 retained routes use this asset","YES","House renovation and before-and-after projects","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/house-renovation-in-selangor-the-ultimate-2026-guide-to-extending-your-home/","/assets/media/Modern-building-renovation-and-property-improvement-b1ec6039.jpg","Article illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","3 retained routes use this asset","YES","House renovation and before-and-after projects","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/office-renovation-in-kuala-lumpur-the-2026-corporate-guide-to-productivity/","/assets/media/Office-renovation-service-in-Selangor-7928d19d.jpg","Article illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","4 retained routes use this asset","YES","Office renovation and fit-out work","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/","/assets/media/detailed-kitchen-cleaning-kl-67669628.jpg","Article illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","5 retained routes use this asset","YES","Cleaning work and before-and-after results","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/pu-injection-waterproofing-kl-how-to-fix-wall-cracks-permanently/","/assets/media/Bathroom-waterproofing-service-in-KL-3293ca94.jpg","Article illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","4 retained routes use this asset","YES","Waterproofing inspection and repair","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
