"Route","Taxonomy type","Taxonomy title","Production status","Current Astro status","Current robots directive","Current canonical","Sitemap presence","Number of matching retained articles","Matching article routes","Number of unique matching articles","Overlap with other archives","Duplicate archive route","Existing internal-link count","Unique introduction present","Current content quality","User navigation value","Search intent distinctness","Search Console data available","Backlink data available","Proposed final action","Proposed redirect destination","Reason","Final implementation status"
"/category/commercial/","Category","Commercial","200","200 — NATIVE TAXONOMY ARCHIVE","noindex, follow","https://rkrenosolution.com/category/commercial/","NO","3","/commercial-retail-shop-renovation-in-kuala-lumpur/; /office-renovation-in-kuala-lumpur-the-2026-corporate-guide-to-productivity/; /office-renovation-petaling-jaya-corporate-fit-out-experts/","3","Overlaps the narrower office-fit-out tag but also includes retail renovation.","","16","YES","Native archive with unique introduction and verified retained-article cards.","HIGH","DISTINCT — commercial renovation includes retail and office topics.","UNKNOWN","UNKNOWN","KEEP_NOINDEX_NATIVE","","Three retained commercial articles form a useful visitor grouping without exactly duplicating another archive.","BATCH 4 COMPLETE — NATIVE NOINDEX ARCHIVE"
"/category/hvac-guides/","Category","HVAC Guides","200","200 — NATIVE TAXONOMY ARCHIVE","noindex, follow","https://rkrenosolution.com/category/hvac-guides/","NO","3","/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/; /servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/; /upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","3","Contains the subjects of the narrower aircond-maintenance and pemasangan-aircond tags.","","17","YES","Native archive with unique introduction and verified retained-article cards.","HIGH","DISTINCT — installation, servicing and quotation guidance in one aircond archive.","UNKNOWN","UNKNOWN","KEEP_NOINDEX_NATIVE","","Three complementary aircond guides provide clear browsing value and do not duplicate the main blog.","BATCH 4 COMPLETE — NATIVE NOINDEX ARCHIVE"
"/category/interior-design/","Category","Interior Design","200","OMITTED ON STAGING","NOT GENERATED","https://rkrenosolution.com/category/interior-design/","NO","1","/plaster-ceiling-contractor-kl-the-ultimate-design-pricing-guide-2026/","1","Substantially overlaps the clearer interior-finishing archive.","/tag/interior-finishing/","5","NOT APPLICABLE","Retired duplicate archive; future 301 documented.","LOW","LOW — only one retained ceiling article supports the old category.","UNKNOWN","UNKNOWN","MERGE_AND_301_LATER","/tag/interior-finishing/","The clearer interior-finishing archive covers the retained ceiling and finishing material without implying a broader design library.","BATCH 4 COMPLETE — OMITTED; FUTURE 301 DOCUMENTED"
"/category/maintenance/","Category","Maintenance","200","200 — NATIVE TAXONOMY ARCHIVE","noindex, follow","https://rkrenosolution.com/category/maintenance/","NO","5","/pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/; /pu-injection-waterproofing-kl-how-to-fix-wall-cracks-permanently/; /servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/; /servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/; /waterproofing-contractor-kuala-lumpur-the-complete-guide-to-stopping-leaks-2026/","5","Overlaps cleaning, HVAC and waterproofing archives but has a broader property-maintenance purpose.","","44","YES","Native archive with unique introduction and verified retained-article cards.","HIGH","DISTINCT — cross-service maintenance planning.","UNKNOWN","UNKNOWN","KEEP_NOINDEX_NATIVE","","Five retained guides support a useful cross-service maintenance collection.","BATCH 4 COMPLETE — NATIVE NOINDEX ARCHIVE"
"/category/renovation/","Category","Renovation","200","200 — NATIVE TAXONOMY ARCHIVE","noindex, follow","https://rkrenosolution.com/category/renovation/","NO","3","/commercial-retail-shop-renovation-in-kuala-lumpur/; /house-renovation-in-kuala-lumpur-the-ultimate-planning-cost-guide-2026/; /house-renovation-in-selangor-the-ultimate-2026-guide-to-extending-your-home/","3","Partially overlaps commercial and interior-finishing archives.","","19","YES","Native archive with unique introduction and verified retained-article cards.","HIGH","DISTINCT — residential and retail renovation planning.","UNKNOWN","UNKNOWN","KEEP_NOINDEX_NATIVE","","Three renovation-planning articles provide a coherent visitor path to related services.","BATCH 4 COMPLETE — NATIVE NOINDEX ARCHIVE"
"/category/servis-pembersihan/","Category","Servis Pembersihan","200","200 — NATIVE TAXONOMY ARCHIVE","noindex, follow","https://rkrenosolution.com/category/servis-pembersihan/","NO","2","/pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/; /servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","2","The cleaning tag is a smaller duplicate of this Malay-language cleaning archive.","","15","YES","Native archive with unique introduction and verified retained-article cards.","HIGH","DISTINCT — focused cleaning guidance with Malay service terminology.","UNKNOWN","UNKNOWN","KEEP_NOINDEX_NATIVE","","Two complementary cleaning articles create a useful focused archive.","BATCH 4 COMPLETE — NATIVE NOINDEX ARCHIVE"
"/category/technical-guides/","Category","Technical Guides","200","200 — NATIVE TAXONOMY ARCHIVE","noindex, follow","https://rkrenosolution.com/category/technical-guides/","NO","6","/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/; /electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/; /plaster-ceiling-contractor-kl-the-ultimate-design-pricing-guide-2026/; /pu-injection-waterproofing-kl-how-to-fix-wall-cracks-permanently/; /upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/; /waterproofing-contractor-kuala-lumpur-the-complete-guide-to-stopping-leaks-2026/","6","Overlaps several narrower service-topic archives but uniquely groups safety and technical planning.","","4","YES","Native archive with unique introduction and verified retained-article cards.","MEDIUM","DISTINCT — cross-trade technical planning and inspection guidance.","UNKNOWN","UNKNOWN","KEEP_NOINDEX_NATIVE","","Six retained articles genuinely address technical planning, safety or inspection across trades.","BATCH 4 COMPLETE — NATIVE NOINDEX ARCHIVE"
"/tag/aircond-maintenance/","Tag","Aircond Maintenance","200","OMITTED ON STAGING","NOT GENERATED","https://rkrenosolution.com/tag/aircond-maintenance/","NO","1","/servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/","1","One-article subset of HVAC Guides.","/category/hvac-guides/","2","NOT APPLICABLE","Retired duplicate archive; future 301 documented.","LOW","LOW — duplicates one retained article's intent.","UNKNOWN","UNKNOWN","MERGE_AND_301_LATER","/servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/","The servicing guide directly satisfies the tag intent; a separate one-card archive adds no navigation value.","BATCH 4 COMPLETE — OMITTED; FUTURE 301 DOCUMENTED"
"/tag/cleaning/","Tag","Cleaning","200","OMITTED ON STAGING","NOT GENERATED","https://rkrenosolution.com/tag/cleaning/","NO","1","/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","1","Smaller duplicate of the two-article cleaning category.","/category/servis-pembersihan/","2","NOT APPLICABLE","Retired duplicate archive; future 301 documented.","LOW","LOW — covered by the stronger cleaning category.","UNKNOWN","UNKNOWN","MERGE_AND_301_LATER","/category/servis-pembersihan/","The cleaning category preserves the same intent and adds the related deep-cleaning guide.","BATCH 4 COMPLETE — OMITTED; FUTURE 301 DOCUMENTED"
"/tag/guide/","Tag","Guide","200","OMITTED ON STAGING","NOT GENERATED","https://rkrenosolution.com/tag/guide/","NO","1","/house-renovation-in-kuala-lumpur-the-ultimate-planning-cost-guide-2026/","1","Generic label overlaps the purpose of the main blog archive.","/blog/","2","NOT APPLICABLE","Retired duplicate archive; future 301 documented.","LOW","LOW — guide is not a distinct topic.","UNKNOWN","UNKNOWN","MERGE_AND_301_LATER","/blog/","The primary blog archive is the genuine browsing destination for guides; the broad tag has no distinct subject.","BATCH 4 COMPLETE — OMITTED; FUTURE 301 DOCUMENTED"
"/tag/interior-finishing/","Tag","Interior Finishing","200","200 — NATIVE TAXONOMY ARCHIVE","noindex, follow","https://rkrenosolution.com/tag/interior-finishing/","NO","2","/commercial-retail-shop-renovation-in-kuala-lumpur/; /plaster-ceiling-contractor-kl-the-ultimate-design-pricing-guide-2026/","2","Overlaps renovation and the old interior-design category without exactly duplicating either.","","3","YES","Native archive with unique introduction and verified retained-article cards.","MEDIUM","DISTINCT — finishing and ceiling coordination.","UNKNOWN","UNKNOWN","KEEP_NOINDEX_NATIVE","","Two retained finishing-related guides support a focused archive with a more accurate title than interior design.","BATCH 4 COMPLETE — NATIVE NOINDEX ARCHIVE"
"/tag/office-fit-out/","Tag","Office Fit-Out","200","200 — NATIVE TAXONOMY ARCHIVE","noindex, follow","https://rkrenosolution.com/tag/office-fit-out/","NO","2","/office-renovation-in-kuala-lumpur-the-2026-corporate-guide-to-productivity/; /office-renovation-petaling-jaya-corporate-fit-out-experts/","2","Narrow two-article subset of the commercial category.","","2","YES","Native archive with unique introduction and verified retained-article cards.","MEDIUM","DISTINCT — office-specific planning differs from retail commercial work.","UNKNOWN","UNKNOWN","KEEP_NOINDEX_NATIVE","","Two office fit-out guides provide a meaningful location-focused grouping.","BATCH 4 COMPLETE — NATIVE NOINDEX ARCHIVE"
"/tag/pemasangan-aircond/","Tag","Pemasangan Aircond","200","OMITTED ON STAGING","NOT GENERATED","https://rkrenosolution.com/tag/pemasangan-aircond/","NO","1","/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","1","One-article subset of HVAC Guides.","/category/hvac-guides/","1","NOT APPLICABLE","Retired duplicate archive; future 301 documented.","LOW","LOW — duplicates the installation quotation guide.","UNKNOWN","UNKNOWN","MERGE_AND_301_LATER","/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","The retained aircond installation guide directly satisfies the old tag intent.","BATCH 4 COMPLETE — OMITTED; FUTURE 301 DOCUMENTED"
"/tag/waterproofing/","Tag","Waterproofing","200","200 — NATIVE TAXONOMY ARCHIVE","noindex, follow","https://rkrenosolution.com/tag/waterproofing/","NO","2","/pu-injection-waterproofing-kl-how-to-fix-wall-cracks-permanently/; /waterproofing-contractor-kuala-lumpur-the-complete-guide-to-stopping-leaks-2026/","2","Two-article subset of maintenance and technical guides.","","3","YES","Native archive with unique introduction and verified retained-article cards.","HIGH","DISTINCT — leak inspection and PU injection guidance.","UNKNOWN","UNKNOWN","KEEP_NOINDEX_NATIVE","","Two complementary waterproofing articles provide clear topic navigation and service context.","BATCH 4 COMPLETE — NATIVE NOINDEX ARCHIVE"
