"Setting","Production or backup finding","Confidence","Recommended production setting","Owner confirmation required","Secret required","Status"
"Active homepage form","Contact Form 7 form 9854","CONSISTENT_ACROSS_SOURCES","Replace with prepared Astro form interface","NO","NO","DISCOVERED"
"Full name","Required text control","VERIFIED_FROM_PRODUCTION","Required; 2-100 characters","NO","NO","READY"
"Phone and email","Labels/placeholders and HTML types are swapped in the legacy form","CONSISTENT_ACROSS_SOURCES","Required phone; optional correctly typed email","NO","NO","READY"
"Company name","Legacy required tel control","VERIFIED_FROM_PRODUCTION","Omit unless a real business need is confirmed","YES","NO","RECOMMENDED_OMIT"
"Service/project type","Legacy demo values include Building Construction and Architecture Design","VERIFIED_FROM_PRODUCTION","Use approved RK Reno service list","NO","NO","READY"
"Budget","Legacy required tel control","VERIFIED_FROM_PRODUCTION","Omit until owner defines a valid purpose and format","YES","NO","RECOMMENDED_OMIT"
"Project details","Required textarea; 2,000-character browser limit","CONSISTENT_ACROSS_SOURCES","Required; 10-2,000 characters; server validated","NO","NO","READY"
"Consent","Legacy acceptance is optional despite mandatory-looking wording","CONSISTENT_ACROSS_SOURCES","Required privacy consent linked to approved policy","YES","NO","BLOCKER"
"Recipient","WordPress admin email resolves to the public contact email","CONSISTENT_ACROSS_SOURCES","Candidate rkrenosolution@gmail.com","YES","NO","BLOCKER"
"Sender","Development placeholder in Contact Form 7 backup","VERIFIED_FROM_BACKUP","Verified provider-approved sender address","YES","YES","BLOCKER"
"Reply-To","Visitor email in Reply-To","VERIFIED_FROM_BACKUP","Sanitized validated visitor email only; omit when blank","NO","NO","READY_IN_SERVICE"
"Subject","Generic site-title plus visitor subject placeholder","VERIFIED_FROM_BACKUP","Website enquiry: [service] - [name]","NO","NO","READY_IN_SERVICE"
"Email template","Generic plain text; no active autoresponder","VERIFIED_FROM_BACKUP","Escaped HTML plus plain text; no attachments or remote fetches","NO","NO","READY_IN_SERVICE"
"Success message","Thank you for your message. It has been sent.","VERIFIED_FROM_BACKUP","Confirm sent; reset form; then emit internal lead event","NO","NO","READY_IN_INTERFACE"
"Error message","Generic retry-later and validation messages","VERIFIED_FROM_BACKUP","Specific safe error plus phone and WhatsApp fallback","NO","NO","READY_IN_INTERFACE"
"Redirect","No form redirect found; secondary mail disabled","VERIFIED_FROM_BACKUP","Remain on page; do not use thank-you visit as proof","NO","NO","READY"
"CAPTCHA","No reusable CAPTCHA configuration found","NOT_FOUND","Cloudflare Turnstile with production and preview-specific settings","NO","YES","BLOCKER"
"Honeypot","No explicit legacy honeypot found","NOT_FOUND","Hidden company_website field; silent spam handling","NO","NO","READY_IN_SERVICE"
"Origin and size controls","Not found in WordPress form settings","NOT_FOUND","Same-origin allowlist and 16 KiB JSON limit","NO","NO","READY_IN_SERVICE"
"Rate limiting","Not found in WordPress form settings","NOT_FOUND","5 requests per 15 minutes per client IP","NO","NO","READY_IN_SERVICE"
"SMTP provider","No safely reusable provider configuration found","NOT_FOUND","Existing verified provider with secure SMTP","YES","YES","BLOCKER"
"Retention","No approved period found","OWNER_CONFIRMATION_REQUIRED","Owner-approved enquiry/email/CRM retention period","YES","NO","BLOCKER"
"CRM integration","Hostinger Reach plugin present; active form destination not verified","PRESENT_BUT_OWNERSHIP_UNCONFIRMED","Email-only by default; add CRM only after explicit approval","YES","YES","BLOCKER_IF_CRM_REQUIRED"
