route,source_type,content_status,seo_status,robots_status,asset_status,overall_status,note
"/","WORDPRESS_CURATED_CORE","IMPORTANT_CONTENT_RETAINED","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Core page manually composed; broken demo content and raw DOM order are intentionally excluded."
"/services/","WORDPRESS_CURATED_CORE","IMPORTANT_CONTENT_RETAINED","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Core page manually composed; broken demo content and raw DOM order are intentionally excluded."
"/about-us/","WORDPRESS_CURATED_CORE","IMPORTANT_CONTENT_RETAINED","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Core page manually composed; broken demo content and raw DOM order are intentionally excluded."
"/contact-us/","WORDPRESS_CURATED_CORE","IMPORTANT_CONTENT_RETAINED","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Core page manually composed; broken demo content and raw DOM order are intentionally excluded."
"/servis-aircond-murah-kl/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/aircond-installation-kl/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/upah-pasang-aircond-selangor/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/service/building-renovation/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/electrical-services-selangor/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/house-renovation-in-kuala-lumpur/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/house-renovation-in-selangor/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/home-renovation-contractor-in-subang-jaya/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/office-renovation-in-kuala-lumpur/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/waterproofing-contractor-kuala-lumpur/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/plaster-ceiling-contractor-kl/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/faq/","WORDPRESS_CURATED_CORE","IMPORTANT_CONTENT_RETAINED","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Core page manually composed; broken demo content and raw DOM order are intentionally excluded."
"/blog/","WORDPRESS_CURATED_CORE","IMPORTANT_CONTENT_RETAINED","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Core page manually composed; broken demo content and raw DOM order are intentionally excluded."
"/commercial-retail-shop-renovation-in-kuala-lumpur/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/office-renovation-petaling-jaya-corporate-fit-out-experts/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/waterproofing-contractor-kuala-lumpur-the-complete-guide-to-stopping-leaks-2026/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/plaster-ceiling-contractor-kl-the-ultimate-design-pricing-guide-2026/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/house-renovation-in-kuala-lumpur-the-ultimate-planning-cost-guide-2026/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/house-renovation-in-selangor-the-ultimate-2026-guide-to-extending-your-home/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/office-renovation-in-kuala-lumpur-the-2026-corporate-guide-to-productivity/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MISSING_ORIGINAL_ASSET","MISSING_ORIGINAL_ASSET","Seven unavailable cleaning originals use the documented cleaning fallback."
"/pu-injection-waterproofing-kl-how-to-fix-wall-cracks-permanently/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/servis-cuci-rumah-kl/","WORDPRESS","MATCH","MATCH","DOCUMENTED_EXCLUSION","MATCH","MATCH","Live source content and SEO are locked; staging robots remain noindex."
"/demolition-contractor-kl-selangor/","OWNER_NEW","NEW_PAGE","NEW_PAGE","DOCUMENTED_EXCLUSION","MATCH","NEW_PAGE","No WordPress source exists; retained as the approved owner-created service page."
