"URL","Path","Source where discovered","Current HTTP status","Current title","Page type","Indexability","Sitemap presence","Internal-link count","WordPress content available","Astro equivalent","Content preserved","Design preserved","SEO preserved","Final action","Redirect destination","Reason","Evidence reviewed","Final status"
"https://rkrenosolution.com/","/","generated-route; YES — page-sitemap; internal links/navigation/footer/pagination; current crawl snapshot; WordPress XML/AIOSEO/Elementor/redirect and 404 inventories","200","Home - RK Reno Solution","homepage","index,follow","YES — page-sitemap","62","YES — inspected rendered/content snapshot","https://rkrenosolution.com/","YES — genuine content represented","YES — close parity with documented safe differences","YES — continuity register reviewed","RETAIN_WITH_SAFE_DIFFERENCES","","Route has clear RK Reno business or search intent and should retain its approved content.","live metadata/render snapshot; full WordPress content snapshot and link/image analysis; XML sitemap inventory; WordPress XML export; AIOSEO records; Elementor export; previous route/redirect/404 inventories","REVIEWED — FINAL ACTION ASSIGNED"
"https://rkrenosolution.com/6-ways-to-get-the-most-out-of-your-project-search-software","/6-ways-to-get-the-most-out-of-your-project-search-software","production-404; internal links/navigation/footer/pagination; current crawl snapshot; WordPress XML/AIOSEO/Elementor/redirect and 404 inventories","404","Page not found – RK Reno Solution","page","remain 404","NO","1","YES — inspected rendered/content snapshot","","NOT APPLICABLE — no live genuine page","NOT APPLICABLE","YES — remains non-indexable 404","EXISTING_404","","Unrelated legacy software article has no intent-matched RK Reno replacement.","live metadata/render snapshot; full WordPress content snapshot and link/image analysis; WordPress XML export; AIOSEO records; Elementor export; previous route/redirect/404 inventories","REVIEWED — FINAL ACTION ASSIGNED"
"https://rkrenosolution.com/about-us/","/about-us/","generated-route; YES — page-sitemap; internal links/navigation/footer/pagination; current crawl snapshot; WordPress XML/AIOSEO/Elementor/redirect and 404 inventories","200","About us - RK Reno Solution","page","index,follow","YES — page-sitemap","51","YES — inspected rendered/content snapshot","https://rkrenosolution.com/about-us/","YES — genuine content represented","YES — close parity with documented safe differences","YES — continuity register reviewed","RETAIN_WITH_SAFE_DIFFERENCES","","Route has clear RK Reno business or search intent and should retain its approved content.","live metadata/render snapshot; full WordPress content snapshot and link/image analysis; XML sitemap inventory; WordPress XML export; AIOSEO records; Elementor export; previous route/redirect/404 inventories","REVIEWED — FINAL ACTION ASSIGNED"
"https://rkrenosolution.com/about/","/about/","existing-redirect-map; internal links/navigation/footer/pagination; WordPress XML/AIOSEO/Elementor/redirect and 404 inventories","301 → https://rkrenosolution.com/about-us/","Legacy About alias","redirect-alias","301 redirect","NO","7","ALIAS — destination content inspected","https://rkrenosolution.com/about-us/","YES — intent consolidated at destination","DESTINATION DESIGN REVIEWED","YES — mapped by one-hop 301","MERGE_AND_301","/about-us/","Legacy alias has a direct equivalent canonical About page.","WordPress XML export; AIOSEO records; Elementor export; previous route/redirect/404 inventories","REVIEWED — FINAL ACTION ASSIGNED"
"https://rkrenosolution.com/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","generated-route; YES — post-sitemap; internal links/navigation/footer/pagination; current crawl snapshot; WordPress XML/AIOSEO/Elementor/redirect and 404 inventories","200","Aircond Installation KL The Ultimate 2026 Guide – RK Reno Solution - RK Reno Solution","post","index,follow","YES — post-sitemap","15","YES — inspected rendered/content snapshot","https://rkrenosolution.com/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","YES — genuine content represented","YES — close parity with documented safe differences","YES — continuity register reviewed","RETAIN_WITH_SAFE_DIFFERENCES","","Route has clear RK Reno business or search intent and should retain its approved content.","live metadata/render snapshot; full WordPress content snapshot and link/image analysis; XML sitemap inventory; WordPress XML export; AIOSEO records; Elementor export; previous route/redirect/404 inventories","REVIEWED — FINAL ACTION ASSIGNED"
"https://rkrenosolution.com/aircond-installation-kl/","/aircond-installation-kl/","generated-route; YES — page-sitemap; internal links/navigation/footer/pagination; current crawl snapshot; WordPress XML/AIOSEO/Elementor/redirect and 404 inventories","200","Aircond Installation KL | Upah Pasang Aircond RM220","page","index,follow","YES — page-sitemap","5","YES — inspected rendered/content snapshot","https://rkrenosolution.com/aircond-installation-kl/","YES — genuine content represented","YES — close parity with documented safe differences","YES — continuity register reviewed","RETAIN_WITH_SAFE_DIFFERENCES","","Genuine priority content is retained; owner approval and shared-system review remain.","live metadata/render snapshot; full WordPress content snapshot and link/image analysis; XML sitemap inventory; WordPress XML export; AIOSEO records; Elementor export; previous route/redirect/404 inventories","REVIEWED — FINAL ACTION ASSIGNED"
"https://rkrenosolution.com/blog-full-width/","/blog-full-width/","generated-route; YES — page-sitemap; internal links/navigation/footer/pagination; current crawl snapshot; WordPress XML/AIOSEO/Elementor/redirect and 404 inventories","200","Blog Full Width - RK Reno Solution","page","gone (410)","YES — page-sitemap","4","YES — inspected rendered/content snapshot","","NOT APPLICABLE — excluded demo/plugin/ecommerce content","NOT APPLICABLE","YES — explicit 410 decision","REMOVE_AND_410","","Imported theme demonstration route; do not redesign or redirect it to the homepage.","live metadata/render snapshot; full WordPress content snapshot and link/image analysis; XML sitemap inventory; WordPress XML export; AIOSEO records; Elementor export; previous route/redirect/404 inventories","REVIEWED — FINAL ACTION ASSIGNED"
"https://rkrenosolution.com/blog-grid/","/blog-grid/","generated-route; YES — page-sitemap; internal links/navigation/footer/pagination; current crawl snapshot; WordPress XML/AIOSEO/Elementor/redirect and 404 inventories","200","Blog Grid - RK Reno Solution","page","gone (410)","YES — page-sitemap","4","YES — inspected rendered/content snapshot","","NOT APPLICABLE — excluded demo/plugin/ecommerce content","NOT APPLICABLE","YES — explicit 410 decision","REMOVE_AND_410","","Imported theme demonstration route; do not redesign or redirect it to the homepage.","live metadata/render snapshot; full WordPress content snapshot and link/image analysis; XML sitemap inventory; WordPress XML export; AIOSEO records; Elementor export; previous route/redirect/404 inventories","REVIEWED — FINAL ACTION ASSIGNED"
"https://rkrenosolution.com/blog/","/blog/","generated-route; YES — post-sitemap; internal links/navigation/footer/pagination; current crawl snapshot; WordPress XML/AIOSEO/Elementor/redirect and 404 inventories","200","Blog - RK Reno Solution","post","index,follow","YES — post-sitemap","18","YES — inspected rendered/content snapshot","https://rkrenosolution.com/blog/","YES — genuine content represented","YES — close parity with documented safe differences","YES — continuity register reviewed","RETAIN_WITH_SAFE_DIFFERENCES","","Route has clear RK Reno business or search intent and should retain its approved content.","live metadata/render snapshot; full WordPress content snapshot and link/image analysis; XML sitemap inventory; WordPress XML export; AIOSEO records; Elementor export; previous route/redirect/404 inventories","REVIEWED — FINAL ACTION ASSIGNED"
"https://rkrenosolution.com/blog/page/2/","/blog/page/2/","generated-route; internal links/navigation/footer/pagination; current crawl snapshot; WordPress XML/AIOSEO/Elementor/redirect and 404 inventories","200","Blog - RK Reno Solution - Page 2","page","301 redirect","NO","4","YES — inspected rendered/content snapshot","https://rkrenosolution.com/blog/","YES — intent consolidated at destination","DESTINATION DESIGN REVIEWED","YES — mapped by one-hop 301","MERGE_AND_301","/blog/","Pagination should consolidate into the redesigned blog/archive experience.","live metadata/render snapshot; full WordPress content snapshot and link/image analysis; WordPress XML export; AIOSEO records; Elementor export; previous route/redirect/404 inventories","REVIEWED — FINAL ACTION ASSIGNED"
