"Current route","Full production URL","Route source","Page title","WordPress content type","Current production status","Current Astro status","Current completion status","Current layout","Proposed action","Proposed destination URL","Recommended index status","Reason","Existing internal-link count","Existing canonical","Sitemap presence","SEO title present","Meta description present","Unique content level","Exact duplicate target","Near-duplicate target","Real business value","Possible search value","Possible backlink risk","Image dependency status","Hotlinked image count","Missing image count","Demo/template indicators","Foreign company/location indicators","Unverified business claim indicators","Portfolio authenticity status","Owner information required","Final decision status"
"/","https://rkrenosolution.com/","generated-route","Home - RK Reno Solution","homepage","200","200","NEEDS REDESIGN","BaseLayout + restored WordPress theme layout","KEEP_AND_REDESIGN","","index,follow","Route has clear RK Reno business or search intent and should retain its approved content.","62","https://rkrenosolution.com/","YES — page-sitemap","YES","YES","HIGH","","","HIGH","MEDIUM","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","Customer count","NOT_APPLICABLE","Evidence for business claims","PROPOSED_NOT_IMPLEMENTED"
"/6-ways-to-get-the-most-out-of-your-project-search-software","https://rkrenosolution.com/6-ways-to-get-the-most-out-of-your-project-search-software","production-404","Page not found – RK Reno Solution","page","404","404 (not generated)","NOT REVIEWED","not generated","EXISTING_404_LEAVE_GONE","","remain 404","Unrelated legacy software article has no intent-matched RK Reno replacement.","1","https://rkrenosolution.com/6-ways-to-get-the-most-out-of-your-project-search-software","NO","YES","NO","LOW","","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","None for disposition; owner approval still required","PROPOSED_NOT_IMPLEMENTED"
"/about-us/","https://rkrenosolution.com/about-us/","generated-route","About us - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","KEEP_AND_REDESIGN","","index,follow","Route has clear RK Reno business or search intent and should retain its approved content.","51","https://rkrenosolution.com/about-us/","YES — page-sitemap","YES","YES","HIGH","","","HIGH","MEDIUM","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","New York","Experience claim","NOT_APPLICABLE","Evidence for business claims","PROPOSED_NOT_IMPLEMENTED"
"/about/","https://rkrenosolution.com/about/","existing-redirect-map","Legacy About alias","redirect-alias","301 → https://rkrenosolution.com/about-us/","404","NOT REVIEWED","not generated","MERGE_AND_301_REDIRECT","/about-us/","301 redirect","Legacy alias has a direct equivalent canonical About page.","7","","NO","YES","NO","LOW","","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","NO IMAGE DEPENDENCY FOUND","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","None for disposition; owner approval still required","PROPOSED_NOT_IMPLEMENTED"
"/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","https://rkrenosolution.com/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","generated-route","Aircond Installation KL The Ultimate 2026 Guide – RK Reno Solution - RK Reno Solution","post","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","KEEP_AND_REDESIGN","","index,follow","Route has clear RK Reno business or search intent and should retain its approved content.","15","https://rkrenosolution.com/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","YES — post-sitemap","YES","YES","HIGH","","","HIGH","HIGH","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","Guarantee or warranty","NOT_APPLICABLE","Evidence for business claims","PROPOSED_NOT_IMPLEMENTED"
"/aircond-installation-kl/","https://rkrenosolution.com/aircond-installation-kl/","generated-route","Aircond Installation KL | Upah Pasang Aircond RM220","page","200","200","TECHNICALLY COMPLETE","BaseLayout + page-specific custom layout","KEEP_CONTENT_PAGE","","index,follow","Genuine priority content is retained; owner approval and shared-system review remain.","5","https://rkrenosolution.com/aircond-installation-kl/","YES — page-sitemap","YES","YES","HIGH","","","HIGH","HIGH","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","None for disposition; owner approval still required","PROPOSED_NOT_IMPLEMENTED"
"/blog-full-width/","https://rkrenosolution.com/blog-full-width/","generated-route","Blog Full Width - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","REMOVE_AND_410","","gone (410)","Imported theme demonstration route; do not redesign or redirect it to the homepage.","4","https://rkrenosolution.com/blog-full-width/","YES — page-sitemap","YES","YES","MEDIUM","","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","Demo route name","NONE FOUND","NONE FOUND","NOT_APPLICABLE","None for disposition; owner approval still required","PROPOSED_NOT_IMPLEMENTED"
"/blog-grid/","https://rkrenosolution.com/blog-grid/","generated-route","Blog Grid - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","REMOVE_AND_410","","gone (410)","Imported theme demonstration route; do not redesign or redirect it to the homepage.","4","https://rkrenosolution.com/blog-grid/","YES — page-sitemap","YES","YES","MEDIUM","","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","Demo route name","NONE FOUND","NONE FOUND","NOT_APPLICABLE","None for disposition; owner approval still required","PROPOSED_NOT_IMPLEMENTED"
"/blog/","https://rkrenosolution.com/blog/","generated-route","Blog - RK Reno Solution","post","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","KEEP_AND_REDESIGN","","index,follow","Route has clear RK Reno business or search intent and should retain its approved content.","18","https://rkrenosolution.com/blog/","YES — post-sitemap","YES","NO","MEDIUM","","","HIGH","MEDIUM","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","None for disposition; owner approval still required","PROPOSED_NOT_IMPLEMENTED"
"/blog/page/2/","https://rkrenosolution.com/blog/page/2/","generated-route","Blog - RK Reno Solution - Page 2","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","MERGE_AND_301_REDIRECT","/blog/","301 redirect","Pagination should consolidate into the redesigned blog/archive experience.","4","https://rkrenosolution.com/blog/page/2/","NO","YES","NO","MEDIUM","","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","None for disposition; owner approval still required","PROPOSED_NOT_IMPLEMENTED"
