"Route","Signal","WordPress value","Astro production value","Match status","Difference type","Action","Reason"
"/","Meta description","RK Reno Solution Reliable Renovation Contractor in KL & Selangor Transform your home, office, or commercial space with RK Reno Solution. We provide renovation, waterproofing, plaster ceiling, aircond installation, and cleaning services with practical planning, skilled workmanship, and clear communication from start to finish. Our Services Get Free Consultation TRUSTED BY 1,250+ HAPPY CUSTOMERS 1","RK Reno Solution helps homeowners and businesses plan renovation, aircond, electrical, waterproofing and related property work with clear communication from the first site discussion.","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Static Astro uses non-animated cards instead of Elementor carousel motion"
"/","Robots","max-image-preview:large","index, follow","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/","Main headings","H1:Reliable Renovation Contractor in KL & Selangor | H1:Practical Renovation Solutions for Better Spaces | H5:Smart Work Planning | H5:Skilled Service Team | H5:Have questions? Call Us: | H1:Renovation, Repair & Installation Services in KL and Selangor | H4:Pakej Deep Cleaning Rumah KL (Termasuk Pre-Hari Raya) | H4:Commercial Retail Shop Renovation in Kuala Lumpur | H4:PU Injection Waterproofing KL: How to Fix Wall Cracks Permanently | H4:Office Renovation Petaling Jaya: Corporate Fit-Out Experts | H4:Waterproofing Contractor Kuala Lumpur: The Complete Guide to Stopping Leaks (2026) | H4:Upah Pasang Aircond Selangor: Panduan Harga & Pemasangan (2026) | H1:Reliable Service for Homes, Offices & Commercial Spaces | H3:Local Service Experience | H3:Clean & Careful Workmanship | H3:Clear Communication | H1:How We Handle Your Project | H5:Inquiry & Consultation | H2:Steps | H5:Site Check & Quotation | H5:Work Planning & Execution | H5:Completion & Handover | H3:Ready to improve your space? | H3:Get In Touch With Us | H1:What Customers Say About RK Reno Solution | H3:Homeowner in Selangor | H3:Business Owner in Kuala Lumpur | H3:Property Owner in KL | H1:Need Renovation or Repair Work?","H1:Reliable Renovation Contractor in KL & Selangor | H2:Practical Renovation Solutions for Better Spaces | H3:Smart Work Planning | H3:Skilled Service Team | H2:Renovation, Repair & Installation Services in KL and Selangor | H3:PU Injection Waterproofing KL: How to Fix Wall Cracks Permanently | H3:Office Renovation Petaling Jaya: Corporate Fit-Out Experts | H3:Waterproofing Contractor Kuala Lumpur: The Complete Guide to Stopping Leaks (2026) | H3:Upah Pasang Aircond Selangor: Panduan Harga & Pemasangan (2026) | H3:Pakej Deep Cleaning Rumah KL (Termasuk Pre-Hari Raya) | H3:Commercial Retail Shop Renovation in Kuala Lumpur | H2:Reliable Service for Homes, Offices & Commercial Spaces | H3:Local Service Experience | H3:Clean & Careful Workmanship | H3:Clear Communication | H2:How We Handle Your Project | H3:Inquiry & Consultation | H3:Site Check & Quotation | H3:Work Planning & Execution | H3:Completion & Handover | H2:Get In Touch With Us | H2:What Customers Say About RK Reno Solution | H2:Need Renovation or Repair Work?","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Static Astro uses non-animated cards instead of Elementor carousel motion"
"/","Open Graph description","RK Reno Solution Reliable Renovation Contractor in KL & Selangor Transform your home, office, or commercial space with RK Reno Solution. We provide renovation, waterproofing, plaster ceiling, aircond installation, and cleaning services with practical planning, skilled workmanship, and clear communication from start to finish. Our Services Get Free Consultation TRUSTED BY 1,250+ HAPPY CUSTOMERS 1","RK Reno Solution helps homeowners and businesses plan renovation, aircond, electrical, waterproofing and related property work with clear communication from the first site discussion.","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Static Astro uses non-animated cards instead of Elementor carousel motion"
"/","Open Graph image","https://rkrenosolution.com/wp-content/uploads/2026/03/RK-Reno-Solutions-Logo.png","https://rkrenosolution.com/assets/media/RK-Reno-Solutions-Logo-942f64bb.png","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Static Astro uses non-animated cards instead of Elementor carousel motion"
"/","Schema types","BreadcrumbList | Organization | WebPage | WebSite","WebPage","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/","Published date","2025-03-26T02:58:50+00:00","","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Static Astro uses non-animated cards instead of Elementor carousel motion"
"/","Modified date","2026-05-21T12:12:21+00:00","","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Static Astro uses non-animated cards instead of Elementor carousel motion"
"/","Sitemap presence","FALSE","TRUE","EQUIVALENT_SAFE","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","The Astro control is explicit and matches the approved production indexing strategy."
"/","Important internal links","/services/ | /contact-us/ | /about-us/ | /pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/ | /category/maintenance/ | /category/servis-pembersihan/ | /commercial-retail-shop-renovation-in-kuala-lumpur/ | /category/renovation/ | /pu-injection-waterproofing-kl-how-to-fix-wall-cracks-permanently/ | /office-renovation-petaling-jaya-corporate-fit-out-experts/ | /category/commercial/ | /waterproofing-contractor-kuala-lumpur-the-complete-guide-to-stopping-leaks-2026/ | /upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/ | /category/hvac-guides/","/services/ | /contact-us/ | /about-us/ | /pu-injection-waterproofing-kl-how-to-fix-wall-cracks-permanently/ | /office-renovation-petaling-jaya-corporate-fit-out-experts/ | /waterproofing-contractor-kuala-lumpur-the-complete-guide-to-stopping-leaks-2026/ | /upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/ | /pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/ | /commercial-retail-shop-renovation-in-kuala-lumpur/","INTENTIONAL_CORRECTION","TECHNICAL_IMPLEMENTATION_DIFFERENCE","PRESERVE_APPROVED_ASTRO","Static Astro uses non-animated cards instead of Elementor carousel motion"
