"Route","Production URL","Exact path","HTTPS","Preferred hostname","Trailing slash","Title","Meta description","Canonical","H1","H2/H3 structure","Open Graph title","Open Graph description","Open Graph image","Schema","Image alt text","Internal links","Published date","Modified date","Sitemap inclusion","Robots directive","Final result","Notes"
"/","https://rkrenosolution.com/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2025-03-26T02:58:50+00:00","2026-05-21T12:12:21+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/about-us/","https://rkrenosolution.com/about-us/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/about-us/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2025-02-12T10:03:49+00:00","2026-05-21T15:11:32+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","https://rkrenosolution.com/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2026-03-28T11:01:41+00:00","2026-03-28T11:02:54+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/aircond-installation-kl/","https://rkrenosolution.com/aircond-installation-kl/","PASS","PASS","PASS","PASS","PRESERVED_INTENT_SAFE_DIFFERENCE","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/aircond-installation-kl/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2026-03-28T10:07:44+00:00","2026-07-17T13:03:28+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/blog/","https://rkrenosolution.com/blog/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/blog/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2025-01-07T08:32:04+00:00","2025-01-07T08:32:04+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/category/commercial/","https://rkrenosolution.com/category/commercial/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/category/commercial/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","NOT_APPLICABLE_OR_NOT_EMITTED","NOT_APPLICABLE_OR_NOT_EMITTED","INTENTIONALLY_EXCLUDED","NOINDEX_FOLLOW_OR_UTILITY_NOINDEX","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/category/hvac-guides/","https://rkrenosolution.com/category/hvac-guides/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/category/hvac-guides/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","NOT_APPLICABLE_OR_NOT_EMITTED","NOT_APPLICABLE_OR_NOT_EMITTED","INTENTIONALLY_EXCLUDED","NOINDEX_FOLLOW_OR_UTILITY_NOINDEX","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/category/maintenance/","https://rkrenosolution.com/category/maintenance/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/category/maintenance/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","NOT_APPLICABLE_OR_NOT_EMITTED","NOT_APPLICABLE_OR_NOT_EMITTED","INTENTIONALLY_EXCLUDED","NOINDEX_FOLLOW_OR_UTILITY_NOINDEX","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/category/renovation/","https://rkrenosolution.com/category/renovation/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/category/renovation/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","NOT_APPLICABLE_OR_NOT_EMITTED","NOT_APPLICABLE_OR_NOT_EMITTED","INTENTIONALLY_EXCLUDED","NOINDEX_FOLLOW_OR_UTILITY_NOINDEX","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/category/servis-pembersihan/","https://rkrenosolution.com/category/servis-pembersihan/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/category/servis-pembersihan/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","NOT_APPLICABLE_OR_NOT_EMITTED","NOT_APPLICABLE_OR_NOT_EMITTED","INTENTIONALLY_EXCLUDED","NOINDEX_FOLLOW_OR_UTILITY_NOINDEX","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/category/technical-guides/","https://rkrenosolution.com/category/technical-guides/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/category/technical-guides/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","NOT_APPLICABLE_OR_NOT_EMITTED","NOT_APPLICABLE_OR_NOT_EMITTED","INTENTIONALLY_EXCLUDED","NOINDEX_FOLLOW_OR_UTILITY_NOINDEX","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/commercial-retail-shop-renovation-in-kuala-lumpur/","https://rkrenosolution.com/commercial-retail-shop-renovation-in-kuala-lumpur/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/commercial-retail-shop-renovation-in-kuala-lumpur/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2026-04-04T14:10:19+00:00","2026-04-04T14:12:15+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/contact-us/","https://rkrenosolution.com/contact-us/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/contact-us/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2025-01-13T08:11:04+00:00","2026-03-28T12:16:09+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","https://rkrenosolution.com/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2026-03-28T11:05:35+00:00","2026-03-28T11:08:16+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/electrical-services-selangor/","https://rkrenosolution.com/electrical-services-selangor/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/electrical-services-selangor/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2026-03-28T10:14:02+00:00","2026-04-01T09:58:37+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/faq/","https://rkrenosolution.com/faq/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/faq/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2025-01-13T03:08:11+00:00","2025-01-13T03:08:11+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/home-renovation-contractor-in-subang-jaya/","https://rkrenosolution.com/home-renovation-contractor-in-subang-jaya/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/home-renovation-contractor-in-subang-jaya/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2026-04-04T13:57:54+00:00","2026-04-09T12:31:59+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/house-renovation-in-kuala-lumpur-the-ultimate-planning-cost-guide-2026/","https://rkrenosolution.com/house-renovation-in-kuala-lumpur-the-ultimate-planning-cost-guide-2026/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/house-renovation-in-kuala-lumpur-the-ultimate-planning-cost-guide-2026/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2026-03-28T11:10:05+00:00","2026-07-18T12:57:03+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/house-renovation-in-kuala-lumpur/","https://rkrenosolution.com/house-renovation-in-kuala-lumpur/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/house-renovation-in-kuala-lumpur/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2026-03-28T10:16:07+00:00","2026-07-22T12:06:32+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/house-renovation-in-selangor-the-ultimate-2026-guide-to-extending-your-home/","https://rkrenosolution.com/house-renovation-in-selangor-the-ultimate-2026-guide-to-extending-your-home/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/house-renovation-in-selangor-the-ultimate-2026-guide-to-extending-your-home/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2026-03-28T11:12:36+00:00","2026-03-28T11:13:12+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/house-renovation-in-selangor/","https://rkrenosolution.com/house-renovation-in-selangor/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/house-renovation-in-selangor/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2026-03-28T10:17:34+00:00","2026-07-17T13:35:18+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/office-renovation-in-kuala-lumpur-the-2026-corporate-guide-to-productivity/","https://rkrenosolution.com/office-renovation-in-kuala-lumpur-the-2026-corporate-guide-to-productivity/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/office-renovation-in-kuala-lumpur-the-2026-corporate-guide-to-productivity/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2026-03-28T11:15:05+00:00","2026-03-28T11:19:42+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/office-renovation-in-kuala-lumpur/","https://rkrenosolution.com/office-renovation-in-kuala-lumpur/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/office-renovation-in-kuala-lumpur/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2026-03-28T10:20:23+00:00","2026-07-22T14:48:20+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/office-renovation-petaling-jaya-corporate-fit-out-experts/","https://rkrenosolution.com/office-renovation-petaling-jaya-corporate-fit-out-experts/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/office-renovation-petaling-jaya-corporate-fit-out-experts/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2026-04-04T14:02:23+00:00","2026-04-04T14:03:02+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
"/pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/","https://rkrenosolution.com/pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/","PASS","PASS","PASS","PASS","MATCH","PRESENT_AND_ROUTE_SPECIFIC","https://rkrenosolution.com/pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/","MATCH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","2026-04-04T14:15:32+00:00","2026-05-21T16:00:37+00:00","INCLUDED","index, follow","PASS","Meaningful search intent preserved; unsupported WordPress claims/plugin markup excluded."
