"Name","Type","Public value","TTL","Purpose","Must preserve","Confidence","Notes"
"rkrenosolution.com","A","91.108.100.117","60","Current root web origin","YES","HIGH","Point-in-time public DNS result."
"rkrenosolution.com","A","191.101.228.253","60","Current root web origin","YES","HIGH","Point-in-time public DNS result."
"rkrenosolution.com","AAAA","2a02:4780:38:df25:b6a6:d240:1a46:c349","60","Current root IPv6 web origin","YES","HIGH","Point-in-time public DNS result."
"rkrenosolution.com","AAAA","2a02:4780:39:829c:f2e5:182b:cd54:e165","60","Current root IPv6 web origin","YES","HIGH","Point-in-time public DNS result."
"www.rkrenosolution.com","CNAME","www.rkrenosolution.com.cdn.hstgr.net.","300","Current www routing","YES","HIGH","Point-in-time public DNS result."
"rkrenosolution.com","MX","NOT PUBLISHED","","Domain email routing","YES","HIGH","Bounded public query returned no record."
"rkrenosolution.com","TXT","NOT PUBLISHED","","SPF or public verification","YES","HIGH","Bounded public query returned no record."
"rkrenosolution.com","CAA","NOT PUBLISHED","","Certificate-authority policy","YES","HIGH","Bounded public query returned no record."
"rkrenosolution.com","NS","ns2.dns-parking.com.","86400","Authoritative nameservers","YES","HIGH","Point-in-time public DNS result."
"rkrenosolution.com","NS","ns1.dns-parking.com.","86400","Authoritative nameservers","YES","HIGH","Point-in-time public DNS result."
"_dmarc.rkrenosolution.com","TXT","NOT PUBLISHED","","DMARC email policy","YES","HIGH","Bounded public query returned no record."
