"Claim text","Route","Evidence found","Verification status","Recommended action"
"1,250+ HAPPY CUSTOMERS","/","Present in production-derived content; no owner evidence was supplied. Removed from the native Batch 1 output. Removed from the native Batch 1 output.","REMOVED_FROM_BATCH_1_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"1 year of experience","/about-us/","Present in production-derived content; no owner evidence was supplied. Removed from the native Batch 1 output. Removed from the native Batch 1 output.","REMOVED_FROM_BATCH_1_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"Warranty","/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","Present in production-derived content; no owner evidence was supplied.","OWNER_CONFIRMATION_REQUIRED","Do not publish until the owner supplies documentary or first-party support."
"guarantee","/commercial-retail-shop-renovation-in-kuala-lumpur/","Present in production-derived content; no owner evidence was supplied. Removed from native Batch 2 output.","REMOVED_FROM_BATCH_2_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"Ecom Stadium","/company-history/","Production-derived content plus imported-demo indicators: Vastcon, Vinceta","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"1995 The Beginning of a Dream","/company-history/","Production-derived content plus imported-demo indicators: Vastcon, Vinceta","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Certified Wireman","/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","Present in production-derived content; no owner evidence was supplied.","OWNER_CONFIRMATION_REQUIRED","Do not publish until the owner supplies documentary or first-party support."
"Warranty","/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","Present in production-derived content; no owner evidence was supplied.","OWNER_CONFIRMATION_REQUIRED","Do not publish until the owner supplies documentary or first-party support."
"500+ Wiring Projects","/electrical-services-selangor/","Present in production-derived content; no owner evidence was supplied. Removed from the native Batch 1 output. Removed from the native Batch 1 output.","REMOVED_FROM_BATCH_1_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"24/7 Emergency Help","/electrical-services-selangor/","Present in production-derived content; no owner evidence was supplied. Removed from the native Batch 1 output. Removed from the native Batch 1 output.","REMOVED_FROM_BATCH_1_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"100% Safety Compliant","/electrical-services-selangor/","Present in production-derived content; no owner evidence was supplied. Removed from the native Batch 1 output. Removed from the native Batch 1 output.","REMOVED_FROM_BATCH_1_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
