"Route","Page type","Validation group","Status","Difference fields"
"/","Homepage","utility","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; carouselDifference; carouselControlDifference; counterDifference; testimonialDifference; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/services/","Service index","service","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingCards; extraCards; wrongLinkDestinations; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/about-us/","About page","utility","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingCards; extraCards; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/contact-us/","Contact page","utility","DIFFERENCE","missingSections; extraSections; extraHeadings; missingParagraphs; extraParagraphs; missingLists; missingImages; extraImages; extraLinks; missingForms; extraForms; missingCards; wrongFormFields; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/servis-aircond-murah-kl/","Service landing page","service","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; extraTables; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; extraAccordions; extraCards; wrongLinkDestinations; wrongFormFields; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/aircond-installation-kl/","Service landing page","service","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; extraLists; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; missingAccordions; extraAccordions; missingCards; extraCards; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; missingSidebar; visualDifference; responsiveDifference; interactionDifference"
"/upah-pasang-aircond-selangor/","Service landing page","service","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; extraLists; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; missingAccordions; extraAccordions; missingCards; extraCards; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; missingSidebar; visualDifference; responsiveDifference; interactionDifference"
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","Article","article","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/service/building-renovation/","Service landing page","service","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; missingImages; extraImages; extraLinks; missingForms; missingCards; extraCards; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/electrical-services-selangor/","Service landing page","service","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; extraAccordions; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/house-renovation-in-kuala-lumpur/","Service landing page","service","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; extraLists; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; missingAccordions; extraAccordions; missingCards; extraCards; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/house-renovation-in-selangor/","Service landing page","service","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; extraLists; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; missingAccordions; extraAccordions; missingCards; extraCards; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/home-renovation-contractor-in-subang-jaya/","Service landing page","service","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; extraTables; missingImages; extraImages; extraLinks; extraAccordions; missingCards; extraCards; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/office-renovation-in-kuala-lumpur/","Service landing page","service","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; extraLists; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; missingAccordions; extraAccordions; missingCards; extraCards; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/waterproofing-contractor-kuala-lumpur/","Service landing page","service","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; extraTables; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; extraAccordions; extraCards; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/plaster-ceiling-contractor-kl/","Service landing page","service","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; extraTables; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; extraAccordions; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/faq/","FAQ page","utility","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraAccordions; missingCards; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/blog/","Blog archive","utility","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; paginationDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
