"Route","Status","Differences"
"/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; carousel: 0 -> 1; slider: 2 -> 0; nextControl: 0 -> 1; counters: 45 -> 4; accordions: 0 -> 2; forms: 4 -> 1; floatingPhone: 3 -> 4; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/services/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 3 -> 0; floatingPhone: 2 -> 4; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/about-us/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; slider: 2 -> 0; counters: 265 -> 0; accordions: 0 -> 2; forms: 3 -> 0; floatingPhone: 2 -> 4; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/contact-us/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 4 -> 1; floatingPhone: 3 -> 5; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/servis-aircond-murah-kl/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 15 -> 8; forms: 3 -> 0; floatingPhone: 2 -> 4; floatingWhatsApp: 9 -> 10; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/aircond-installation-kl/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 7 -> 9; forms: 3 -> 0; floatingPhone: 2 -> 4; floatingWhatsApp: 3 -> 5; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/upah-pasang-aircond-selangor/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 7 -> 9; forms: 3 -> 0; floatingPhone: 2 -> 4; floatingWhatsApp: 3 -> 5; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; carousel: 1 -> 0; slider: 1 -> 0; counters: 3 -> 0; accordions: 8 -> 10; forms: 5 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 3 -> 4; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/service/building-renovation/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 12 -> 2; forms: 4 -> 0; floatingPhone: 3 -> 4; floatingWhatsApp: 0 -> 2; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/electrical-services-selangor/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 12 -> 7; forms: 3 -> 0; floatingPhone: 2 -> 5; floatingWhatsApp: 9 -> 11; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
