"Route","WordPress section","WordPress heading","WordPress content summary","Astro equivalent","Difference","Safe or unsafe difference","Correction required","Correction completed","Reason"
"/","Complete genuine page body","Reliable Renovation Contractor in KL & Selangor","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/","Counters, testimonials and newsletter","Why Choose / Client Feedback","WordPress publishes unsupported counters, anonymous testimonials and imported newsletter sales copy.","Relevant service/process/contact sections retained; unsupported blocks omitted","Unsupported claims and theme/demo material excluded.","SAFE","NO","YES","No owner evidence supports the claims, identities or figures."
"/services/","Complete genuine page body","Services","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/about-us/","Complete genuine page body","About us","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/contact-us/","Complete genuine page body","Contact Us","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/contact-us/","Enquiry form","Contact Us","WordPress Contact Form 7 layout and enquiry purpose reviewed.","Equivalent native form layout, visibly disabled on GitHub Pages","Submission is disabled and no data is transmitted on staging.","SAFE","NO","YES","The owner expressly prohibited production-form activation."
"/servis-aircond-murah-kl/","Complete genuine page body","Servis Aircond Murah KL","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/servis-aircond-murah-kl/","Service imagery","Servis Aircond Murah KL","WordPress imagery and placement reviewed.","Approved owner WebP derivatives in comparable roles","Approved owner media replaces older neutral WordPress imagery.","SAFE","NO","YES","Owner-approved first-party media is a safer and more accurate representation."
"/aircond-installation-kl/","Complete genuine page body","Aircond Installation KL","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/aircond-installation-kl/","Service imagery","Aircond Installation KL","WordPress imagery and placement reviewed.","Approved owner WebP derivatives in comparable roles","Approved owner media replaces older neutral WordPress imagery.","SAFE","NO","YES","Owner-approved first-party media is a safer and more accurate representation."
"/upah-pasang-aircond-selangor/","Complete genuine page body","Upah Pasang Aircond Selangor untuk Rumah, Pejabat & Kedai","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/upah-pasang-aircond-selangor/","Service imagery","Upah Pasang Aircond Selangor untuk Rumah, Pejabat & Kedai","WordPress imagery and placement reviewed.","Approved owner WebP derivatives in comparable roles","Approved owner media replaces older neutral WordPress imagery.","SAFE","NO","YES","Owner-approved first-party media is a safer and more accurate representation."
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","Complete genuine page body","Upah Pasang Aircond Selangor: Panduan Harga & Pemasangan (2026)","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","Service imagery","Upah Pasang Aircond Selangor: Panduan Harga & Pemasangan (2026)","WordPress imagery and placement reviewed.","Approved owner WebP derivatives in comparable roles","Approved owner media replaces older neutral WordPress imagery.","SAFE","NO","YES","Owner-approved first-party media is a safer and more accurate representation."
"/service/building-renovation/","Complete genuine page body","building renovation","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/electrical-services-selangor/","Complete genuine page body","Electrical Services Selangor","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/house-renovation-in-kuala-lumpur/","Complete genuine page body","House Renovation in Kuala Lumpur","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/house-renovation-in-selangor/","Complete genuine page body","House Renovation in Selangor","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/home-renovation-contractor-in-subang-jaya/","Complete genuine page body","Home Renovation Contractor in Subang Jaya","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/office-renovation-in-kuala-lumpur/","Complete genuine page body","Office Renovation in Kuala Lumpur","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/waterproofing-contractor-kuala-lumpur/","Complete genuine page body","Waterproofing Contractor Kuala Lumpur","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/plaster-ceiling-contractor-kl/","Complete genuine page body","Plaster Ceiling Contractor KL","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/faq/","Complete genuine page body","Frequently Asked Questions","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/blog/","Complete genuine page body","Blog","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/commercial-retail-shop-renovation-in-kuala-lumpur/","Complete genuine page body","Commercial Retail Shop Renovation in Kuala Lumpur","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/office-renovation-petaling-jaya-corporate-fit-out-experts/","Complete genuine page body","Office Renovation Petaling Jaya: Corporate Fit-Out Experts","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
