"Source path","Action","Destination","Expected status","Test result","Reason","Evidence category"
"/","RETAIN_200","","200","PASS","Route has clear RK Reno business or search intent and should retain its approved content.","APPROVED_STAGE_2"
"/6-ways-to-get-the-most-out-of-your-project-search-software","EXISTING_404","","404","PASS","Unrelated legacy software article has no intent-matched RK Reno replacement.","OBSERVED_EXISTING_404"
"/about-us/","RETAIN_200","","200","PASS","Route has clear RK Reno business or search intent and should retain its approved content.","APPROVED_STAGE_2"
"/about/","REDIRECT_301","/about-us/","301","PASS","Legacy alias has a direct equivalent canonical About page.","APPROVED_ROUTE_CONSOLIDATION"
"/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","RETAIN_200","","200","PASS","Route has clear RK Reno business or search intent and should retain its approved content.","APPROVED_STAGE_2"
"/aircond-installation-kl/","RETAIN_200","","200","PASS","Genuine priority content is retained; owner approval and shared-system review remain.","APPROVED_STAGE_2"
"/blog-full-width/","GONE_410","","410","PASS","Imported theme demonstration route; do not redesign or redirect it to the homepage.","DEMO_OR_UNSUPPORTED_CONTENT_REMOVAL"
"/blog-grid/","GONE_410","","410","PASS","Imported theme demonstration route; do not redesign or redirect it to the homepage.","DEMO_OR_UNSUPPORTED_CONTENT_REMOVAL"
"/blog/","RETAIN_200","","200","PASS","Route has clear RK Reno business or search intent and should retain its approved content.","APPROVED_STAGE_2"
"/blog/page/2/","REDIRECT_301","/blog/","301","PASS","Pagination should consolidate into the redesigned blog/archive experience.","APPROVED_ROUTE_CONSOLIDATION"
"/blog/page/3/","REDIRECT_301","/blog/","301","PASS","Pagination should consolidate into the redesigned blog/archive experience.","APPROVED_ROUTE_CONSOLIDATION"
"/blog/page/4/","REDIRECT_301","/blog/","301","PASS","Pagination should consolidate into the redesigned blog/archive experience.","APPROVED_ROUTE_CONSOLIDATION"
"/career/","GONE_410","","410","PASS","Imported or obsolete utility content has no verified business purpose.","DEMO_OR_UNSUPPORTED_CONTENT_REMOVAL"
"/cart/","GONE_410","","410","PASS","Published WooCommerce utility exists in the export but has no supported RK Reno sales function.","DEMO_OR_UNSUPPORTED_CONTENT_REMOVAL"
"/category/commercial/","RETAIN_200","","200","PASS","Three retained commercial articles form a useful visitor grouping without exactly duplicating another archive.","APPROVED_STAGE_2"
"/category/hvac-guides/","RETAIN_200","","200","PASS","Three complementary aircond guides provide clear browsing value and do not duplicate the main blog.","APPROVED_STAGE_2"
"/category/interior-design/","REDIRECT_301","/tag/interior-finishing/","301","PASS","The clearer interior-finishing archive covers the retained ceiling and finishing material without implying a broader design library.","APPROVED_ROUTE_CONSOLIDATION"
"/category/maintenance/","RETAIN_200","","200","PASS","Five retained guides support a useful cross-service maintenance collection.","APPROVED_STAGE_2"
"/category/renovation/","RETAIN_200","","200","PASS","Three renovation-planning articles provide a coherent visitor path to related services.","APPROVED_STAGE_2"
"/category/servis-pembersihan/","RETAIN_200","","200","PASS","Two complementary cleaning articles create a useful focused archive.","APPROVED_STAGE_2"
"/category/technical-guides/","RETAIN_200","","200","PASS","Six retained articles genuinely address technical planning, safety or inspection across trades.","APPROVED_STAGE_2"
"/checkout/","GONE_410","","410","PASS","Published WooCommerce utility exists in the export but has no supported RK Reno sales function.","DEMO_OR_UNSUPPORTED_CONTENT_REMOVAL"
"/commercial-retail-shop-renovation-in-kuala-lumpur/","RETAIN_200","","200","PASS","Route has clear RK Reno business or search intent and should retain its approved content.","APPROVED_STAGE_2"
"/company-history/","OWNER_DECISION_UNPUBLISHED","","404","PASS","Identity, history, testimonials, or project claims require owner-supplied authentic content.","OWNER_EVIDENCE_REQUIRED"
"/contact-us/","RETAIN_200","","200","PASS","Route has clear RK Reno business or search intent and should retain its approved content.","APPROVED_STAGE_2"
"/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","RETAIN_200","","200","PASS","Route has clear RK Reno business or search intent and should retain its approved content.","APPROVED_STAGE_2"
"/electrical-services-selangor/","RETAIN_200","","200","PASS","Genuine priority content is retained; owner approval and shared-system review remain.","APPROVED_STAGE_2"
"/faq/","RETAIN_200","","200","PASS","Route has clear RK Reno business or search intent and should retain its approved content.","APPROVED_STAGE_2"
"/feedback-error/","GONE_410","","410","PASS","Imported or obsolete utility content has no verified business purpose.","DEMO_OR_UNSUPPORTED_CONTENT_REMOVAL"
"/home-1-one-page/","GONE_410","","410","PASS","Imported theme demonstration route; do not redesign or redirect it to the homepage.","DEMO_OR_UNSUPPORTED_CONTENT_REMOVAL"
"/home-1/","GONE_410","","410","PASS","Imported theme demonstration route; do not redesign or redirect it to the homepage.","DEMO_OR_UNSUPPORTED_CONTENT_REMOVAL"
