"Original filename","File type","File size","Image dimensions","Video dimensions","Video duration","Orientation","Quality","Duplicate or near-duplicate status","Main subject","Service category","Location if identifiable/appropriate","People visible","Branding or logos visible","Private or sensitive information visible","Appears to show genuine RK Reno work","Suggested website page","Suggested website section","Recommended use","Selected or rejected","Rejection reason","Public filename","Alt text","Caption","Crop requirement","Compression requirement","Privacy correction requirement","Owner confirmation required"
"WhatsApp Image 2026-07-17 at 6.47.55 PM (1).jpeg","jpeg","53568 bytes","1080x810","","","landscape","GOOD","RELATED_SEQUENCE_01_04","Worker aligning an aircond mounting rail","Aircond installation","NOT_IDENTIFIABLE","YES","RK Reno shirt plus 014-3319006 and 01111-334496","alternate phone number visible on worker shirt","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","alternate phone number visible on worker shirt","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Image 2026-07-17 at 6.47.55 PM (2).jpeg","jpeg","53660 bytes","810x1080","","","portrait","FAIR","UNIQUE","Empty room with wall-mounted aircond","Aircond installation","NOT_IDENTIFIABLE","NO","NO","NO_OBVIOUS_SENSITIVE_INFORMATION","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Keep original local only","REJECTED","Weak composition and limited service context","","","","NONE","NONE","NONE","NO"
"WhatsApp Image 2026-07-17 at 6.47.55 PM (3).jpeg","jpeg","92337 bytes","1080x810","","","landscape","GOOD","RELATED_SEQUENCE_03_05_08_13","Residential exterior with outdoor aircond units","Aircond installation","NOT_IDENTIFIABLE","NO","NO","private residence or household context","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","private residence or household context","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Image 2026-07-17 at 6.47.55 PM.jpeg","jpeg","55381 bytes","1080x810","","","landscape","GOOD","RELATED_SEQUENCE_01_04","Worker aligning an aircond mounting rail","Aircond installation","NOT_IDENTIFIABLE","YES","RK Reno shirt plus 014-3319006 and 01111-334496","alternate phone number visible on worker shirt","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","alternate phone number visible on worker shirt","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Image 2026-07-17 at 6.47.56 PM (1).jpeg","jpeg","107337 bytes","810x1080","","","portrait","GOOD","RELATED_SEQUENCE_03_05_08_13","Residential exterior with outdoor condenser units","Aircond installation","NOT_IDENTIFIABLE","NO","NO","private residence or household context","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","private residence or household context","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Image 2026-07-17 at 6.47.56 PM (2).jpeg","jpeg","213557 bytes","810x1080","","","portrait","FAIR","UNIQUE","Outdoor unit on a roof area","Aircond installation","NOT_IDENTIFIABLE","NO","NO","private residence or household context","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","private residence or household context","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Image 2026-07-17 at 6.47.56 PM (3).jpeg","jpeg","190824 bytes","810x1080","","","portrait","GOOD","UNIQUE","Daikin outdoor condenser unit","Aircond installation","NOT_IDENTIFIABLE","NO","MANUFACTURER_LOGO_ONLY","NO_OBVIOUS_SENSITIVE_INFORMATION","OWNER_SUPPLIED_SERVICE_IMAGERY_NOT_PROJECT_VERIFIED","/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","Page hero","Responsive WebP derivative","SELECTED","","rk-reno-aircond-outdoor-condenser-480.webp; rk-reno-aircond-outdoor-condenser-720.webp","Owner-supplied image of an outdoor aircond condenser unit","Outdoor aircond condenser unit; location and project details are not published.","NONE","WEBP_QUALITY_80_METADATA_STRIPPED","NONE","NO"
"WhatsApp Image 2026-07-17 at 6.47.56 PM.jpeg","jpeg","142356 bytes","810x1080","","","portrait","FAIR","RELATED_SEQUENCE_03_05_08_13","Residential entrance and outdoor condenser","Aircond installation","NOT_IDENTIFIABLE","NO","NO","private residence or household context","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","private residence or household context","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Image 2026-07-17 at 6.47.57 PM (1).jpeg","jpeg","57924 bytes","810x1080","","","portrait","POOR","UNIQUE","Indoor wall, distribution board and partial hand","Aircond installation","NOT_IDENTIFIABLE","YES","NO","private residence or household context","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Keep original local only","REJECTED","Poor composition and private interior context","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","NO"
"WhatsApp Image 2026-07-17 at 6.47.57 PM (2).jpeg","jpeg","71521 bytes","810x1080","","","portrait","FAIR","UNIQUE","Worker beside aircond conduit","Aircond installation","NOT_IDENTIFIABLE","YES","RK Reno shirt plus 014-3319006 and 01111-334496","alternate phone number visible on worker shirt","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","alternate phone number visible on worker shirt","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
