"Route","Page title","Page type","Index status","Sitemap status","Template used","Content reviewed","Desktop reviewed","Tablet reviewed","Mobile reviewed","Images reviewed","Claims reviewed","Internal links reviewed","CTA reviewed","SEO reviewed","Schema reviewed","Accessibility reviewed","Owner approval required","Remaining issue","Final readiness status"
"/","Reliable Renovation Services in KL & Selangor - RK Reno Solution","Homepage","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native Batch1Page Astro component","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/services/","Renovation & Property Services - RK Reno Solution","Service index","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native Batch1Page Astro component","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/about-us/","Practical Help for Better Spaces - RK Reno Solution","About page","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native Batch1Page Astro component","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/contact-us/","Tell Us About Your Property - RK Reno Solution","Contact page","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native Batch1Page Astro component + ContactForm","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner legal input and production form configuration remain incomplete; staging submission is disabled.","NEEDS_FORM_CONFIGURATION"
"/servis-aircond-murah-kl/","Servis Aircond Murah KL - RK Reno Solution","Service landing page","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native Batch1Page Astro component","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/aircond-installation-kl/","Aircond Installation KL - RK Reno Solution","Service landing page","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native Batch1Page Astro component","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/upah-pasang-aircond-selangor/","Upah Pasang Aircond Selangor - RK Reno Solution","Service landing page","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native Batch1Page Astro component","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","Upah Pasang Aircond Selangor: Panduan Harga & Pemasangan - RK Reno Solution","Article","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native reusable article template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/service/building-renovation/","Building Renovation - RK Reno Solution","Service landing page","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native Batch1Page Astro component","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/electrical-services-selangor/","Electrical Services Selangor - RK Reno Solution","Service landing page","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native Batch1Page Astro component","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
