"Route","Area","Astro before","Correction applied","Intentional safe difference","Astro after","Remaining issue"
"/","Content and section depth","2035 chars / 4539px","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","4942 chars / 6513px","No blocker beyond documented intentional safe differences"
"/","Heading structure","18 headings","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","27 headings","No blocker beyond documented intentional safe differences"
"/","Desktop layout","CLOSE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","CLOSE","No blocker beyond documented intentional safe differences"
"/","SEO and H1","SAFE_DIFFERENCE / SAFE_DIFFERENCE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","MATCH / MATCH","No blocker beyond documented intentional safe differences"
"/services/","Content and section depth","1738 chars / 3785px","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","2058 chars / 4001px","No blocker beyond documented intentional safe differences"
"/services/","Heading structure","17 headings","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","20 headings","No blocker beyond documented intentional safe differences"
"/services/","Desktop layout","CLOSE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","CLOSE","No blocker beyond documented intentional safe differences"
"/services/","SEO and H1","SAFE_DIFFERENCE / SAFE_DIFFERENCE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","MATCH / MATCH","No blocker beyond documented intentional safe differences"
"/about-us/","Content and section depth","1204 chars / 3207px","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","2723 chars / 7465px","No blocker beyond documented intentional safe differences"
"/about-us/","Heading structure","11 headings","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","14 headings","No blocker beyond documented intentional safe differences"
"/about-us/","Desktop layout","CLOSE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","CLOSE","No blocker beyond documented intentional safe differences"
"/about-us/","SEO and H1","SAFE_DIFFERENCE / SAFE_DIFFERENCE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","MATCH / MATCH","No blocker beyond documented intentional safe differences"
"/contact-us/","Content and section depth","3061 chars / 4180px","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; GitHub Pages form remains visibly disabled; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","3044 chars / 4248px","No blocker beyond documented intentional safe differences"
"/contact-us/","Heading structure","13 headings","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; GitHub Pages form remains visibly disabled; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","13 headings","No blocker beyond documented intentional safe differences"
"/contact-us/","Desktop layout","CLOSE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; GitHub Pages form remains visibly disabled; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","CLOSE","No blocker beyond documented intentional safe differences"
"/contact-us/","SEO and H1","SAFE_DIFFERENCE / SAFE_DIFFERENCE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; GitHub Pages form remains visibly disabled; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","MATCH / MATCH","No blocker beyond documented intentional safe differences"
"/servis-aircond-murah-kl/","Content and section depth","1555 chars / 3735px","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","4874 chars / 5760px","No blocker beyond documented intentional safe differences"
"/servis-aircond-murah-kl/","Heading structure","12 headings","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","20 headings","No blocker beyond documented intentional safe differences"
"/servis-aircond-murah-kl/","Desktop layout","CLOSE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","CLOSE","No blocker beyond documented intentional safe differences"
"/servis-aircond-murah-kl/","SEO and H1","MATCH / MATCH","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","MATCH / MATCH","No blocker beyond documented intentional safe differences"
"/aircond-installation-kl/","Content and section depth","1787 chars / 3777px","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","4607 chars / 10160px","No blocker beyond documented intentional safe differences"
"/aircond-installation-kl/","Heading structure","12 headings","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","32 headings","No blocker beyond documented intentional safe differences"
"/aircond-installation-kl/","Desktop layout","CLOSE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","CLOSE","No blocker beyond documented intentional safe differences"
"/aircond-installation-kl/","SEO and H1","SAFE_DIFFERENCE / MATCH","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","SAFE_DIFFERENCE / MATCH","No blocker beyond documented intentional safe differences"
"/upah-pasang-aircond-selangor/","Content and section depth","1124 chars / 3426px","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","4198 chars / 9855px","No blocker beyond documented intentional safe differences"
"/upah-pasang-aircond-selangor/","Heading structure","11 headings","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","30 headings","No blocker beyond documented intentional safe differences"
"/upah-pasang-aircond-selangor/","Desktop layout","CLOSE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","CLOSE","No blocker beyond documented intentional safe differences"
"/upah-pasang-aircond-selangor/","SEO and H1","SAFE_DIFFERENCE / SAFE_DIFFERENCE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","MATCH / MATCH","No blocker beyond documented intentional safe differences"
