"Route","Status","Difference fields"
"/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; carouselDifference; carouselControlDifference; counterDifference; testimonialDifference; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/services/","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingCards; extraCards; wrongLinkDestinations; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/about-us/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingCards; extraCards; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/contact-us/","DIFFERENCE","missingSections; extraSections; extraHeadings; missingParagraphs; extraParagraphs; missingLists; missingImages; extraImages; extraLinks; missingForms; extraForms; missingCards; wrongFormFields; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/servis-aircond-murah-kl/","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; extraTables; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; extraAccordions; extraCards; wrongLinkDestinations; wrongFormFields; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/aircond-installation-kl/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; extraLists; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; missingAccordions; extraAccordions; missingCards; extraCards; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; missingSidebar; visualDifference; responsiveDifference; interactionDifference"
"/upah-pasang-aircond-selangor/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; extraLists; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; missingAccordions; extraAccordions; missingCards; extraCards; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; missingSidebar; visualDifference; responsiveDifference; interactionDifference"
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/service/building-renovation/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; missingImages; extraImages; extraLinks; missingForms; missingCards; extraCards; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/electrical-services-selangor/","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; extraAccordions; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
