"Route","WordPress URL","Astro URL","Page type","WordPress HTTP status","Astro HTTP status","Header parity","Top-bar parity","Navigation parity","Hero parity","Section-order parity","Section-count parity","Content parity","Heading parity","Image parity","Button parity","CTA parity","Table parity","FAQ parity","Form parity","Footer parity","Desktop visual parity","Tablet visual parity","Mobile visual parity","Title parity","Meta-description parity","Canonical parity","H1 parity","Heading-hierarchy parity","Schema parity","Open Graph parity","Internal-link parity","Intentional safe differences","Reason for each difference","Corrections applied","Remaining issue","Final parity status"
"/","https://rkrenosolution.com/","http://127.0.0.1:4321/","Homepage","200","200","CLOSE","CLOSE","CLOSE","CLOSE","SAFE_DIFFERENCE","SAFE_DIFFERENCE","CLOSE","SAFE_DIFFERENCE","CLOSE","MATCH","MATCH","SAFE_DIFFERENCE","NOT_APPLICABLE","SAFE_DIFFERENCE","CLOSE_WITH_SAFE_CONTENT","CLOSE","CLOSE","CLOSE","MATCH","SAFE_DIFFERENCE","MATCH","MATCH","SAFE_DIFFERENCE","CLOSE","MATCH","CLOSE","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","Safety, accessibility, performance and native-Astro requirements override harmful WordPress output","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","No blocker beyond documented intentional safe differences","CLOSE_PARITY_WITH_SAFE_DIFFERENCES"
"/services/","https://rkrenosolution.com/services/","http://127.0.0.1:4321/services/","Service index","200","200","CLOSE","CLOSE","CLOSE","CLOSE","SAFE_DIFFERENCE","SAFE_DIFFERENCE","CLOSE","SAFE_DIFFERENCE","CLOSE","SAFE_DIFFERENCE","SAFE_DIFFERENCE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","CLOSE_WITH_SAFE_CONTENT","CLOSE","CLOSE","CLOSE","MATCH","SAFE_DIFFERENCE","MATCH","MATCH","SAFE_DIFFERENCE","CLOSE","MATCH","CLOSE","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","Safety, accessibility, performance and native-Astro requirements override harmful WordPress output","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","No blocker beyond documented intentional safe differences","CLOSE_PARITY_WITH_SAFE_DIFFERENCES"
"/about-us/","https://rkrenosolution.com/about-us/","http://127.0.0.1:4321/about-us/","About page","200","200","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","SAFE_DIFFERENCE","CLOSE","CLOSE","CLOSE","MATCH","MATCH","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","CLOSE_WITH_SAFE_CONTENT","CLOSE","CLOSE","CLOSE","MATCH","SAFE_DIFFERENCE","MATCH","MATCH","CLOSE","CLOSE","MATCH","CLOSE","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","Safety, accessibility, performance and native-Astro requirements override harmful WordPress output","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","No blocker beyond documented intentional safe differences","CLOSE_PARITY_WITH_SAFE_DIFFERENCES"
"/contact-us/","https://rkrenosolution.com/contact-us/","http://127.0.0.1:4321/contact-us/","Contact page","200","200","CLOSE","CLOSE","CLOSE","CLOSE","SAFE_DIFFERENCE","SAFE_DIFFERENCE","CLOSE","SAFE_DIFFERENCE","CLOSE","MATCH","MATCH","NOT_APPLICABLE","NOT_APPLICABLE","MATCH","CLOSE_WITH_SAFE_CONTENT","CLOSE","CLOSE","CLOSE","MATCH","SAFE_DIFFERENCE","MATCH","MATCH","SAFE_DIFFERENCE","CLOSE","MATCH","CLOSE","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; GitHub Pages form remains visibly disabled; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","Safety, accessibility, performance and native-Astro requirements override harmful WordPress output","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","No blocker beyond documented intentional safe differences","CLOSE_PARITY_WITH_SAFE_DIFFERENCES"
"/servis-aircond-murah-kl/","https://rkrenosolution.com/servis-aircond-murah-kl/","http://127.0.0.1:4321/servis-aircond-murah-kl/","Service landing page","200","200","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","SAFE_DIFFERENCE","CLOSE","CLOSE","SAFE_OWNER_MEDIA_IMPROVEMENT","MATCH","MATCH","NOT_APPLICABLE","MATCH","NOT_APPLICABLE","CLOSE_WITH_SAFE_CONTENT","CLOSE","CLOSE","CLOSE","MATCH","SAFE_DIFFERENCE","MATCH","MATCH","CLOSE","CLOSE","MATCH","CLOSE","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","Safety, accessibility, performance and native-Astro requirements override harmful WordPress output","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","No blocker beyond documented intentional safe differences","CLOSE_PARITY_WITH_SAFE_DIFFERENCES"
"/aircond-installation-kl/","https://rkrenosolution.com/aircond-installation-kl/","http://127.0.0.1:4321/aircond-installation-kl/","Service landing page","200","200","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","SAFE_OWNER_MEDIA_IMPROVEMENT","MATCH","MATCH","MATCH","MATCH","NOT_APPLICABLE","CLOSE_WITH_SAFE_CONTENT","CLOSE","CLOSE","CLOSE","SAFE_DIFFERENCE","SAFE_DIFFERENCE","MATCH","MATCH","CLOSE","CLOSE","SAFE_DIFFERENCE","CLOSE","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","Safety, accessibility, performance and native-Astro requirements override harmful WordPress output","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","No blocker beyond documented intentional safe differences","CLOSE_PARITY_WITH_SAFE_DIFFERENCES"
"/upah-pasang-aircond-selangor/","https://rkrenosolution.com/upah-pasang-aircond-selangor/","http://127.0.0.1:4321/upah-pasang-aircond-selangor/","Service landing page","200","200","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","SAFE_OWNER_MEDIA_IMPROVEMENT","MATCH","MATCH","SAFE_DIFFERENCE","MATCH","NOT_APPLICABLE","CLOSE_WITH_SAFE_CONTENT","CLOSE","CLOSE","CLOSE","MATCH","SAFE_DIFFERENCE","MATCH","MATCH","CLOSE","CLOSE","MATCH","CLOSE","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","Safety, accessibility, performance and native-Astro requirements override harmful WordPress output","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","No blocker beyond documented intentional safe differences","CLOSE_PARITY_WITH_SAFE_DIFFERENCES"
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","https://rkrenosolution.com/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","http://127.0.0.1:4321/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","Article","200","200","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","SAFE_DIFFERENCE","CLOSE","CLOSE","SAFE_OWNER_MEDIA_IMPROVEMENT","MATCH","MATCH","SAFE_DIFFERENCE","MATCH","SAFE_DIFFERENCE","CLOSE_WITH_SAFE_CONTENT","CLOSE","CLOSE","CLOSE","MATCH","SAFE_DIFFERENCE","MATCH","MATCH","CLOSE","CLOSE","MATCH","CLOSE","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","Safety, accessibility, performance and native-Astro requirements override harmful WordPress output","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","No blocker beyond documented intentional safe differences","CLOSE_PARITY_WITH_SAFE_DIFFERENCES"
"/service/building-renovation/","https://rkrenosolution.com/service/building-renovation/","http://127.0.0.1:4321/service/building-renovation/","Service landing page","200","200","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","SAFE_DIFFERENCE","CLOSE","CLOSE","CLOSE","MATCH","MATCH","SAFE_DIFFERENCE","MATCH","NOT_APPLICABLE","CLOSE_WITH_SAFE_CONTENT","CLOSE","CLOSE","CLOSE","MATCH","SAFE_DIFFERENCE","MATCH","MATCH","CLOSE","CLOSE","MATCH","CLOSE","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","Safety, accessibility, performance and native-Astro requirements override harmful WordPress output","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","No blocker beyond documented intentional safe differences","CLOSE_PARITY_WITH_SAFE_DIFFERENCES"
"/electrical-services-selangor/","https://rkrenosolution.com/electrical-services-selangor/","http://127.0.0.1:4321/electrical-services-selangor/","Service landing page","200","200","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","SAFE_DIFFERENCE","CLOSE","CLOSE","CLOSE","MATCH","MATCH","SAFE_DIFFERENCE","MATCH","NOT_APPLICABLE","CLOSE_WITH_SAFE_CONTENT","CLOSE","CLOSE","CLOSE","MATCH","SAFE_DIFFERENCE","MATCH","MATCH","CLOSE","CLOSE","MATCH","CLOSE","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","Safety, accessibility, performance and native-Astro requirements override harmful WordPress output","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","No blocker beyond documented intentional safe differences","CLOSE_PARITY_WITH_SAFE_DIFFERENCES"
"/house-renovation-in-kuala-lumpur/","https://rkrenosolution.com/house-renovation-in-kuala-lumpur/","http://127.0.0.1:4321/house-renovation-in-kuala-lumpur/","Service landing page","200","200","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","MATCH","MATCH","MATCH","MATCH","NOT_APPLICABLE","CLOSE_WITH_SAFE_CONTENT","CLOSE","CLOSE","CLOSE","MATCH","SAFE_DIFFERENCE","MATCH","MATCH","CLOSE","CLOSE","MATCH","CLOSE","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","Safety, accessibility, performance and native-Astro requirements override harmful WordPress output","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","No blocker beyond documented intentional safe differences","CLOSE_PARITY_WITH_SAFE_DIFFERENCES"
"/house-renovation-in-selangor/","https://rkrenosolution.com/house-renovation-in-selangor/","http://127.0.0.1:4321/house-renovation-in-selangor/","Service landing page","200","200","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","MATCH","MATCH","MATCH","MATCH","NOT_APPLICABLE","CLOSE_WITH_SAFE_CONTENT","CLOSE","CLOSE","CLOSE","MATCH","SAFE_DIFFERENCE","MATCH","MATCH","CLOSE","CLOSE","MATCH","CLOSE","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","Safety, accessibility, performance and native-Astro requirements override harmful WordPress output","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","No blocker beyond documented intentional safe differences","CLOSE_PARITY_WITH_SAFE_DIFFERENCES"
"/home-renovation-contractor-in-subang-jaya/","https://rkrenosolution.com/home-renovation-contractor-in-subang-jaya/","http://127.0.0.1:4321/home-renovation-contractor-in-subang-jaya/","Service landing page","200","200","CLOSE","CLOSE","CLOSE","CLOSE","CLOSE","SAFE_DIFFERENCE","CLOSE","CLOSE","CLOSE","MATCH","MATCH","MATCH","MATCH","NOT_APPLICABLE","CLOSE_WITH_SAFE_CONTENT","CLOSE","CLOSE","CLOSE","MATCH","SAFE_DIFFERENCE","MATCH","MATCH","CLOSE","CLOSE","MATCH","CLOSE","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","Safety, accessibility, performance and native-Astro requirements override harmful WordPress output","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","No blocker beyond documented intentional safe differences","CLOSE_PARITY_WITH_SAFE_DIFFERENCES"
