Route,Page type,Source type,Indexability,Sitemap inclusion,Canonical,Title,Description,H1,Main rendered word count,Local image count,Missing-original-asset status,Internal-link count,Schema types,Desktop result,Tablet result,Mobile result,Content result,SEO result,Image result,Link result,Accessibility result,Final result
/,Homepage,wordpress,index,true,https://rkrenosolution.com/,Home - RK Reno Solution,"RK Reno Solution helps homeowners and businesses plan renovation, aircond, electrical, waterproofing and related property work with clear communication from the first site discussion.",Reliable Renovation Contractor in KL & Selangor,687,14,NONE,63,WebPage,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/services/,Service index,wordpress,index,true,https://rkrenosolution.com/services/,Services - RK Reno Solution,"Explore renovation, repair, installation and maintenance services for residential and commercial properties in Kuala Lumpur and Selangor.",Services,315,14,NONE,75,WebPage,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/about-us/,About page,wordpress,index,true,https://rkrenosolution.com/about-us/,About us - RK Reno Solution,RK Reno Solution is a Kuala Lumpur–based renovation and property-service business supporting homeowners and business owners across KL and Selangor.,About Us,253,8,NONE,48,WebPage,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/contact-us/,Contact page,wordpress,index,true,https://rkrenosolution.com/contact-us/,Contact Us - RK Reno Solution,"Send the property location, service required and a short description. Photos and approximate measurements can help us understand the enquiry.",Contact Us,143,3,NONE,38,WebPage,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/servis-aircond-murah-kl/,Service landing page,wordpress,index,true,https://rkrenosolution.com/servis-aircond-murah-kl/,Servis Aircond Murah KL - RK Reno Solution,"Aircond kurang sejuk, berbau atau bocor air? Dapatkan pemeriksaan, pembersihan dan cadangan servis untuk rumah atau pejabat di Kuala Lumpur.",Servis Aircond Murah KL,975,2,NONE,43,Service; FAQPage,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/aircond-installation-kl/,Service landing page,wordpress,index,true,https://rkrenosolution.com/aircond-installation-kl/,Aircond Installation KL - RK Reno Solution,"Installation for wall-mounted aircond units in Kuala Lumpur homes, condominiums, offices and shops, with the scope confirmed from the unit and site requirements.",Aircond Installation KL,895,5,NONE,45,Service; FAQPage,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/upah-pasang-aircond-selangor/,Service landing page,wordpress,index,true,https://rkrenosolution.com/upah-pasang-aircond-selangor/,Aircond Installation Selangor | Upah Pasang Aircond,"Servis pemasangan aircond untuk rumah, pejabat dan kedai di Selangor, berdasarkan kapasiti unit, jarak paip, saliran, bekalan elektrik dan keadaan tapak.","Upah Pasang Aircond Selangor untuk Rumah, Pejabat & Kedai",782,5,NONE,43,Service; FAQPage,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/,Article,wordpress,index,true,https://rkrenosolution.com/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/,Upah Pasang Aircond Selangor 2026 | Harga & Pemasangan,"Panduan memahami faktor harga, skop standard, bahan, akses dan pengesahan tapak untuk pemasangan aircond di Selangor.",Upah Pasang Aircond Selangor: Panduan Harga & Pemasangan (2026),2951,5,NONE,60,BlogPosting; FAQPage; BreadcrumbList,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/service/building-renovation/,Service landing page,wordpress,index,true,https://rkrenosolution.com/service/building-renovation/,building renovation - RK Reno Solution,"Improve an existing residential or commercial space with a renovation scope shaped around its condition, function and intended use.",building renovation,385,2,NONE,53,Service,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/electrical-services-selangor/,Service landing page,wordpress,index,true,https://rkrenosolution.com/electrical-services-selangor/,Electrical Services Selangor - RK Reno Solution,"Electrical inspection, troubleshooting, wiring and fitting work for homes, offices and commercial properties in Selangor and Kuala Lumpur.",Electrical Services Selangor,622,2,NONE,45,Service; FAQPage,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/house-renovation-in-kuala-lumpur/,Service landing page,wordpress,index,true,https://rkrenosolution.com/house-renovation-in-kuala-lumpur/,House Renovation Cost Kuala Lumpur 2026 | Price Guide,"Plan painting, tiling, kitchen, bathroom, ceiling, electrical and repair work around the condition and requirements of your Kuala Lumpur property.",House Renovation in Kuala Lumpur,992,2,NONE,49,Service; FAQPage,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/house-renovation-in-selangor/,Service landing page,wordpress,index,true,https://rkrenosolution.com/house-renovation-in-selangor/,House Renovation Selangor | Contractor & Starting Prices,"Renovation planning for houses and residential properties across Selangor, from targeted repairs and room updates to coordinated multi-trade work.",House Renovation in Selangor,968,2,NONE,49,Service; FAQPage,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/home-renovation-contractor-in-subang-jaya/,Service landing page,wordpress,index,true,https://rkrenosolution.com/home-renovation-contractor-in-subang-jaya/,Home Renovation Contractor in Subang Jaya - RK Reno Solution,"Practical renovation, repair and improvement planning for homes in Subang Jaya, with the final scope based on the property and requested work.",Home Renovation Contractor in Subang Jaya,732,3,NONE,42,Service; FAQPage,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/office-renovation-in-kuala-lumpur/,Service landing page,wordpress,index,true,https://rkrenosolution.com/office-renovation-in-kuala-lumpur/,Office Renovation Contractor KL | Fit-Out & Reinstatement,"Plan office partitions, flooring, ceilings, electrical points, data requirements and reinstatement around the premises and business needs.",Office Renovation in Kuala Lumpur,1133,4,NONE,49,Service; FAQPage,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/waterproofing-contractor-kuala-lumpur/,Service landing page,wordpress,index,true,https://rkrenosolution.com/waterproofing-contractor-kuala-lumpur/,Waterproofing Contractor Kuala Lumpur - RK Reno Solution,"Arrange inspection for roof, bathroom, balcony, wall and concrete leakage before selecting a repair or waterproofing method.",Waterproofing Contractor Kuala Lumpur,630,3,NONE,42,Service; FAQPage,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/plaster-ceiling-contractor-kl/,Service landing page,wordpress,index,true,https://rkrenosolution.com/plaster-ceiling-contractor-kl/,Plaster Ceiling Contractor KL - RK Reno Solution,"Plaster ceiling installation and repair for homes and offices, coordinated with lighting, aircond access and site measurements.",Plaster Ceiling Contractor KL,980,5,NONE,45,Service; FAQPage,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/faq/,FAQ page,wordpress,index,true,https://rkrenosolution.com/faq/,FAQ - RK Reno Solution,"Answers about renovation, aircond, electrical, waterproofing, ceiling, quotation and service areas.",Frequently Asked Questions,397,2,NONE,40,FAQPage,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/blog/,Blog archive,wordpress,index,true,https://rkrenosolution.com/blog/,Blog - RK Reno Solution,Practical renovation and property-service guides from RK Reno Solution.,Blog,524,15,NONE,84,CollectionPage,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
/commercial-retail-shop-renovation-in-kuala-lumpur/,Article,wordpress,index,true,https://rkrenosolution.com/commercial-retail-shop-renovation-in-kuala-lumpur/,Commercial Retail Shop Renovation in Kuala Lumpur - RK Reno Solution,"A practical guide to planning retail layout, services, finishes, access and handover for a Kuala Lumpur shop renovation.",Commercial Retail Shop Renovation in Kuala Lumpur,980,3,NONE,61,BlogPosting; BreadcrumbList,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
